REF_AREA,Country,AGE,TIME_PERIOD,Mortality
ESP,Spain,_T,2020-W07,1
ESP,Spain,_T,2020-W08,0
ESP,Spain,_T,2020-W09,0
ESP,Spain,_T,2020-W10,24
ESP,Spain,_T,2020-W11,457
ESP,Spain,_T,2020-W12,2432
ESP,Spain,_T,2020-W13,5663
ESP,Spain,_T,2020-W14,5841
ESP,Spain,_T,2020-W15,4766
ESP,Spain,_T,2020-W16,3576
ESP,Spain,_T,2020-W17,2386
ESP,Spain,_T,2020-W18,1551
ESP,Spain,_T,2020-W19,1069
ESP,Spain,_T,2020-W20,612
ESP,Spain,_T,2020-W21,452
ESP,Spain,_T,2020-W22,338
ESP,Spain,_T,2020-W23,240
ESP,Spain,_T,2020-W24,160
ESP,Spain,_T,2020-W25,113
ESP,Spain,_T,2020-W26,57
ESP,Spain,_T,2020-W27,48
ESP,Spain,_T,2020-W28,29
ESP,Spain,_T,2020-W29,21
ESP,Spain,_T,2020-W30,51
ESP,Spain,_T,2020-W31,90
ESP,Spain,_T,2020-W32,147
ESP,Spain,_T,2020-W33,204
ESP,Spain,_T,2020-W34,308
ESP,Spain,_T,2020-W35,394
ESP,Spain,_T,2020-W36,510
ESP,Spain,_T,2020-W37,680
ESP,Spain,_T,2020-W38,827
ESP,Spain,_T,2020-W39,880
ESP,Spain,_T,2020-W40,947
ESP,Spain,_T,2020-W41,944
ESP,Spain,_T,2020-W42,1053
ESP,Spain,_T,2020-W43,1387
ESP,Spain,_T,2020-W44,1798
ESP,Spain,_T,2020-W45,2304
ESP,Spain,_T,2020-W46,2344
ESP,Spain,_T,2020-W47,2183
ESP,Spain,_T,2020-W48,1873
ESP,Spain,_T,2020-W49,1526
ESP,Spain,_T,2020-W50,1360
ESP,Spain,_T,2020-W51,1146
ESP,Spain,_T,2020-W52,1172
ESP,Spain,_T,2020-W53,1287
ESP,Spain,_T,2021-W01,1577
ESP,Spain,_T,2021-W02,2325
ESP,Spain,_T,2021-W03,3407
ESP,Spain,_T,2021-W04,3819
ESP,Spain,_T,2021-W05,3315
ESP,Spain,_T,2021-W06,2459
ESP,Spain,_T,2021-W07,1692
ESP,Spain,_T,2021-W08,1315
ESP,Spain,_T,2021-W09,927
ESP,Spain,_T,2021-W10,717
ESP,Spain,_T,2021-W11,592
ESP,Spain,_T,2021-W12,533
ESP,Spain,_T,2021-W13,538
ESP,Spain,_T,2021-W14,563
ESP,Spain,_T,2021-W15,570
ESP,Spain,_T,2021-W16,528
ESP,Spain,_T,2021-W17,453
ESP,Spain,_T,2021-W18,458
ESP,Spain,_T,2021-W19,363
ESP,Spain,_T,2021-W20,253
ESP,Spain,_T,2021-W21,191
ESP,Spain,_T,2021-W22,209
ESP,Spain,_T,2021-W23,145
ESP,Spain,_T,2021-W24,130
ESP,Spain,_T,2021-W25,113
ESP,Spain,_T,2021-W26,89
ESP,Spain,_T,2021-W27,89
ESP,Spain,_T,2021-W28,162
ESP,Spain,_T,2021-W29,397
ESP,Spain,_T,2021-W30,556
ESP,Spain,_T,2021-W31,710
ESP,Spain,_T,2021-W32,803
ESP,Spain,_T,2021-W33,713
ESP,Spain,_T,2021-W34,641
ESP,Spain,_T,2021-W35,562
ESP,Spain,_T,2021-W36,442
ESP,Spain,_T,2021-W37,373
ESP,Spain,_T,2021-W38,253
ESP,Spain,_T,2021-W39,192
ESP,Spain,_T,2021-W40,151
ESP,Spain,_T,2021-W41,129
ESP,Spain,_T,2021-W42,123
ESP,Spain,_T,2021-W43,106
ESP,Spain,_T,2021-W44,96
ESP,Spain,_T,2021-W45,161
ESP,Spain,_T,2021-W46,155
ESP,Spain,_T,2021-W47,194
ESP,Spain,_T,2021-W48,295
ESP,Spain,_T,2021-W49,355
ESP,Spain,_T,2021-W50,501
ESP,Spain,_T,2021-W51,584
ESP,Spain,_T,2021-W52,731
ESP,Spain,_T,2022-W01,1047
ESP,Spain,_T,2022-W02,1387
ESP,Spain,_T,2022-W03,1568
ESP,Spain,_T,2022-W04,1769
ESP,Spain,_T,2022-W05,1706
ESP,Spain,_T,2022-W06,1400
ESP,Spain,_T,2022-W07,943
ESP,Spain,_T,2022-W08,662
ESP,Spain,_T,2022-W09,528
ESP,Spain,_T,2022-W10,444
ESP,Spain,_T,2022-W11,373
ESP,Spain,_T,2022-W12,311
