Country,Code,Date,Weekly new hospital admissions
Belgium,BEL,2020-03-12,34
Belgium,BEL,2020-03-13,95
Belgium,BEL,2020-03-14,151
Belgium,BEL,2020-03-15,221
Belgium,BEL,2020-03-16,308
Belgium,BEL,2020-03-17,433
Belgium,BEL,2020-03-18,605
Belgium,BEL,2020-03-19,792
Belgium,BEL,2020-03-20,1025
Belgium,BEL,2020-03-21,1291
Belgium,BEL,2020-03-22,1499
Belgium,BEL,2020-03-23,1679
Belgium,BEL,2020-03-24,1974
Belgium,BEL,2020-03-25,2338
Belgium,BEL,2020-03-26,2619
Belgium,BEL,2020-03-27,2912
Belgium,BEL,2020-03-28,3232
Belgium,BEL,2020-03-29,3499
Belgium,BEL,2020-03-30,3717
Belgium,BEL,2020-03-31,3847
Belgium,BEL,2020-04-01,3903
Belgium,BEL,2020-04-02,3981
Belgium,BEL,2020-04-03,3896
Belgium,BEL,2020-04-04,3756
Belgium,BEL,2020-04-05,3571
Belgium,BEL,2020-04-06,3409
Belgium,BEL,2020-04-07,3334
Belgium,BEL,2020-04-08,3199
Belgium,BEL,2020-04-09,3094
Belgium,BEL,2020-04-10,3023
Belgium,BEL,2020-04-11,2913
Belgium,BEL,2020-04-12,2830
Belgium,BEL,2020-04-13,2750
Belgium,BEL,2020-04-14,2528
Belgium,BEL,2020-04-15,2381
Belgium,BEL,2020-04-16,2227
Belgium,BEL,2020-04-17,2102
Belgium,BEL,2020-04-18,1975
Belgium,BEL,2020-04-19,1925
Belgium,BEL,2020-04-20,1865
Belgium,BEL,2020-04-21,1874
Belgium,BEL,2020-04-22,1773
Belgium,BEL,2020-04-23,1664
Belgium,BEL,2020-04-24,1579
Belgium,BEL,2020-04-25,1517
Belgium,BEL,2020-04-26,1420
Belgium,BEL,2020-04-27,1365
Belgium,BEL,2020-04-28,1268
Belgium,BEL,2020-04-29,1237
Belgium,BEL,2020-04-30,1186
Belgium,BEL,2020-05-01,1099
Belgium,BEL,2020-05-02,978
Belgium,BEL,2020-05-03,910
Belgium,BEL,2020-05-04,873
Belgium,BEL,2020-05-05,831
Belgium,BEL,2020-05-06,747
Belgium,BEL,2020-05-07,716
Belgium,BEL,2020-05-08,661
Belgium,BEL,2020-05-09,664
Belgium,BEL,2020-05-10,664
Belgium,BEL,2020-05-11,620
Belgium,BEL,2020-05-12,571
Belgium,BEL,2020-05-13,553
Belgium,BEL,2020-05-14,497
Belgium,BEL,2020-05-15,483
Belgium,BEL,2020-05-16,460
Belgium,BEL,2020-05-17,443
Belgium,BEL,2020-05-18,447
Belgium,BEL,2020-05-19,432
Belgium,BEL,2020-05-20,426
Belgium,BEL,2020-05-21,423
Belgium,BEL,2020-05-22,395
Belgium,BEL,2020-05-23,389
Belgium,BEL,2020-05-24,375
Belgium,BEL,2020-05-25,362
Belgium,BEL,2020-05-26,342
Belgium,BEL,2020-05-27,318
Belgium,BEL,2020-05-28,283
Belgium,BEL,2020-05-29,274
Belgium,BEL,2020-05-30,260
Belgium,BEL,2020-05-31,255
Belgium,BEL,2020-06-01,245
Belgium,BEL,2020-06-02,242
Belgium,BEL,2020-06-03,211
Belgium,BEL,2020-06-04,217
Belgium,BEL,2020-06-05,219
Belgium,BEL,2020-06-06,200
Belgium,BEL,2020-06-07,198
Belgium,BEL,2020-06-08,187
Belgium,BEL,2020-06-09,175
Belgium,BEL,2020-06-10,173
Belgium,BEL,2020-06-11,172
Belgium,BEL,2020-06-12,167
Belgium,BEL,2020-06-13,155
Belgium,BEL,2020-06-14,147
Belgium,BEL,2020-06-15,141
Belgium,BEL,2020-06-16,144
Belgium,BEL,2020-06-17,143
Belgium,BEL,2020-06-18,131
Belgium,BEL,2020-06-19,127
Belgium,BEL,2020-06-20,134
Belgium,BEL,2020-06-21,130
Belgium,BEL,2020-06-22,132
Belgium,BEL,2020-06-23,117
Belgium,BEL,2020-06-24,114
Belgium,BEL,2020-06-25,114
Belgium,BEL,2020-06-26,111
Belgium,BEL,2020-06-27,109
Belgium,BEL,2020-06-28,104
Belgium,BEL,2020-06-29,104
Belgium,BEL,2020-06-30,109
Belgium,BEL,2020-07-01,102
Belgium,BEL,2020-07-02,94
Belgium,BEL,2020-07-03,82
Belgium,BEL,2020-07-04,82
Belgium,BEL,2020-07-05,82
Belgium,BEL,2020-07-06,78
Belgium,BEL,2020-07-07,78
Belgium,BEL,2020-07-08,78
Belgium,BEL,2020-07-09,76
Belgium,BEL,2020-07-10,76
Belgium,BEL,2020-07-11,71
Belgium,BEL,2020-07-12,71
Belgium,BEL,2020-07-13,70
Belgium,BEL,2020-07-14,71
Belgium,BEL,2020-07-15,73
Belgium,BEL,2020-07-16,75
Belgium,BEL,2020-07-17,80
Belgium,BEL,2020-07-18,96
Belgium,BEL,2020-07-19,107
Belgium,BEL,2020-07-20,112
Belgium,BEL,2020-07-21,103
Belgium,BEL,2020-07-22,115
Belgium,BEL,2020-07-23,135
Belgium,BEL,2020-07-24,158
Belgium,BEL,2020-07-25,157
Belgium,BEL,2020-07-26,155
Belgium,BEL,2020-07-27,169
Belgium,BEL,2020-07-28,201
Belgium,BEL,2020-07-29,213
Belgium,BEL,2020-07-30,210
Belgium,BEL,2020-07-31,195
Belgium,BEL,2020-08-01,198
Belgium,BEL,2020-08-02,211
Belgium,BEL,2020-08-03,212
Belgium,BEL,2020-08-04,191
Belgium,BEL,2020-08-05,206
Belgium,BEL,2020-08-06,209
Belgium,BEL,2020-08-07,223
Belgium,BEL,2020-08-08,232
Belgium,BEL,2020-08-09,226
Belgium,BEL,2020-08-10,238
Belgium,BEL,2020-08-11,270
Belgium,BEL,2020-08-12,255
Belgium,BEL,2020-08-13,268
Belgium,BEL,2020-08-14,268
Belgium,BEL,2020-08-15,273
Belgium,BEL,2020-08-16,279
Belgium,BEL,2020-08-17,259
Belgium,BEL,2020-08-18,242
Belgium,BEL,2020-08-19,246
Belgium,BEL,2020-08-20,230
Belgium,BEL,2020-08-21,228
Belgium,BEL,2020-08-22,211
Belgium,BEL,2020-08-23,200
Belgium,BEL,2020-08-24,196
Belgium,BEL,2020-08-25,173
Belgium,BEL,2020-08-26,155
Belgium,BEL,2020-08-27,146
Belgium,BEL,2020-08-28,134
Belgium,BEL,2020-08-29,116
Belgium,BEL,2020-08-30,112
