Country,Date,Weekly new ICU admissions
Chile,4/15/2020,195
Chile,4/16/2020,194
Chile,4/17/2020,183
Chile,4/18/2020,168
Chile,4/19/2020,180
Chile,4/20/2020,183
Chile,4/21/2020,208
Chile,4/22/2020,220
Chile,4/23/2020,234
Chile,4/24/2020,228
Chile,4/25/2020,245
Chile,4/26/2020,231
Chile,4/27/2020,223
Chile,4/28/2020,213
Chile,4/29/2020,213
Chile,4/30/2020,205
Chile,5/1/2020,206
Chile,5/2/2020,200
Chile,5/3/2020,222
Chile,5/4/2020,236
Chile,5/5/2020,245
Chile,5/6/2020,258
Chile,5/7/2020,256
Chile,5/8/2020,274
Chile,5/9/2020,311
Chile,5/10/2020,310
Chile,5/11/2020,306
Chile,5/12/2020,330
Chile,5/13/2020,359
Chile,5/14/2020,389
Chile,5/15/2020,424
Chile,5/16/2020,453
Chile,5/17/2020,460
Chile,5/18/2020,501
Chile,5/19/2020,558
Chile,5/20/2020,582
Chile,5/21/2020,603
Chile,5/22/2020,620
Chile,5/23/2020,661
Chile,5/24/2020,680
Chile,5/25/2020,701
Chile,5/26/2020,675
Chile,5/27/2020,716
Chile,5/28/2020,750
Chile,5/29/2020,790
Chile,5/30/2020,755
Chile,5/31/2020,765
Chile,6/1/2020,782
Chile,6/2/2020,773
Chile,6/3/2020,746
Chile,6/4/2020,762
Chile,6/5/2020,740
Chile,6/6/2020,747
Chile,6/7/2020,804
Chile,6/8/2020,781
Chile,6/9/2020,774
Chile,6/10/2020,785
Chile,6/11/2020,790
Chile,6/12/2020,803
Chile,6/13/2020,803
Chile,6/14/2020,837
Chile,6/15/2020,844
Chile,6/16/2020,861
Chile,6/17/2020,913
Chile,6/18/2020,934
Chile,6/19/2020,974
Chile,6/20/2020,1029
Chile,6/21/2020,995
Chile,6/22/2020,997
Chile,6/23/2020,986
Chile,6/24/2020,965
Chile,6/25/2020,967
Chile,6/26/2020,951
Chile,6/27/2020,918
Chile,6/28/2020,912
Chile,6/29/2020,898
Chile,6/30/2020,911
Chile,7/1/2020,834
Chile,7/2/2020,807
Chile,7/3/2020,768
Chile,7/4/2020,747
Chile,7/5/2020,731
Chile,7/6/2020,740
Chile,7/7/2020,701
Chile,7/8/2020,768
Chile,7/9/2020,758
Chile,7/10/2020,747
Chile,7/11/2020,765
Chile,7/12/2020,759
Chile,7/13/2020,713
Chile,7/14/2020,724
Chile,7/15/2020,692
Chile,7/16/2020,667
Chile,7/17/2020,631
Chile,7/18/2020,575
Chile,7/19/2020,564
Chile,7/20/2020,573
Chile,7/21/2020,555
Chile,7/22/2020,532
Chile,7/23/2020,518
Chile,7/24/2020,532
Chile,7/25/2020,533
Chile,7/26/2020,503
Chile,7/27/2020,485
Chile,7/28/2020,470
Chile,7/29/2020,453
Chile,7/30/2020,452
Chile,7/31/2020,444
Chile,8/1/2020,445
Chile,8/2/2020,425
Chile,8/3/2020,429
Chile,8/4/2020,426
Chile,8/5/2020,426
Chile,8/6/2020,399
Chile,8/7/2020,387
Chile,8/8/2020,367
Chile,8/9/2020,381
Chile,8/10/2020,381
Chile,8/11/2020,376
Chile,8/12/2020,372
Chile,8/13/2020,370
Chile,8/14/2020,356
Chile,8/15/2020,367
Chile,8/16/2020,359
Chile,8/17/2020,345
Chile,8/18/2020,347
Chile,8/19/2020,323
Chile,8/20/2020,322
Chile,8/21/2020,325
Chile,8/22/2020,323
Chile,8/23/2020,315
Chile,8/24/2020,318
Chile,8/25/2020,311
Chile,8/26/2020,348
Chile,8/27/2020,339
Chile,8/28/2020,328
Chile,8/29/2020,316
Chile,8/30/2020,320
Chile,8/31/2020,321
Chile,9/1/2020,321
Chile,9/2/2020,283
Chile,9/3/2020,290
Chile,9/4/2020,301
Chile,9/5/2020,305
Chile,9/6/2020,315
Chile,9/7/2020,322
Chile,9/8/2020,334
Chile,9/9/2020,366
Chile,9/10/2020,359
Chile,9/11/2020,361
Chile,9/12/2020,361
Chile,9/13/2020,351
Chile,9/14/2020,347
Chile,9/15/2020,345
Chile,9/16/2020,316
Chile,9/17/2020,327
Chile,9/18/2020,314
Chile,9/19/2020,309
Chile,9/20/2020,303
Chile,9/21/2020,294
Chile,9/22/2020,296
Chile,9/23/2020,302
Chile,9/24/2020,310
Chile,9/25/2020,319
Chile,9/26/2020,321
Chile,9/27/2020,324
Chile,9/28/2020,326
Chile,9/29/2020,309
Chile,9/30/2020,301
Chile,10/1/2020,302
Chile,10/2/2020,283
Chile,10/3/2020,294
Chile,10/4/2020,293
Chile,10/5/2020,291
Chile,10/6/2020,289
Chile,10/7/2020,303
Chile,10/8/2020,292
Chile,10/9/2020,307
Chile,10/10/2020,292
Chile,10/11/2020,289
Chile,10/12/2020,292
Chile,10/13/2020,302
Chile,10/14/2020,275
Chile,10/15/2020,282
Chile,10/16/2020,284
Chile,10/17/2020,267
Chile,10/18/2020,261
Chile,10/19/2020,254
Chile,10/20/2020,255
Chile,10/21/2020,281
Chile,10/22/2020,269
Chile,10/23/2020,250
Chile,10/24/2020,271
Chile,10/25/2020,278
Chile,10/26/2020,289
Chile,10/27/2020,280
Chile,10/28/2020,274
Chile,10/29/2020,284
Chile,10/30/2020,292
Chile,10/31/2020,282
Chile,11/1/2020,273
Chile,11/2/2020,263
Chile,11/3/2020,267
Chile,11/4/2020,264
Chile,11/5/2020,249
Chile,11/6/2020,258
Chile,11/7/2020,266
Chile,11/8/2020,262
Chile,11/9/2020,256
Chile,11/10/2020,257
Chile,11/11/2020,253
Chile,11/12/2020,256
Chile,11/13/2020,259
Chile,11/14/2020,248
Chile,11/15/2020,257
Chile,11/16/2020,263
Chile,11/17/2020,270
Chile,11/18/2020,274
Chile,11/19/2020,271
Chile,11/20/2020,259
Chile,11/21/2020,262
Chile,11/22/2020,266
Chile,11/23/2020,261
Chile,11/24/2020,248
Chile,11/25/2020,246
Chile,11/26/2020,239
Chile,11/27/2020,246
Chile,11/28/2020,253
Chile,11/29/2020,256
Chile,11/30/2020,263
Chile,12/1/2020,271
Chile,12/2/2020,267
Chile,12/3/2020,273
Chile,12/4/2020,261
Chile,12/5/2020,255
Chile,12/6/2020,243
Chile,12/7/2020,236
Chile,12/8/2020,238
Chile,12/9/2020,247
Chile,12/10/2020,219
Chile,12/11/2020,228
Chile,12/12/2020,229
Chile,12/13/2020,234
Chile,12/14/2020,239
Chile,12/15/2020,242
Chile,12/16/2020,232
Chile,12/17/2020,280
Chile,12/18/2020,285
Chile,12/19/2020,293
Chile,12/20/2020,297
Chile,12/21/2020,315
Chile,12/22/2020,323
Chile,12/23/2020,332
Chile,12/24/2020,322
Chile,12/25/2020,330
Chile,12/26/2020,330
Chile,12/27/2020,324
Chile,12/28/2020,322
Chile,12/29/2020,321
Chile,12/30/2020,346
Chile,12/31/2020,366
Chile,1/1/2021,365
Chile,1/2/2021,352
Chile,1/3/2021,347
Chile,1/4/2021,349
Chile,1/5/2021,351
Chile,1/6/2021,344
Chile,1/7/2021,410
Chile,1/8/2021,423
Chile,1/9/2021,493
Chile,1/10/2021,542
Chile,1/11/2021,539
Chile,1/12/2021,557
Chile,1/13/2021,585
Chile,1/14/2021,533
Chile,1/15/2021,567
Chile,1/16/2021,539
Chile,1/17/2021,544
Chile,1/18/2021,571
Chile,1/19/2021,565
Chile,1/20/2021,623
Chile,1/21/2021,660
Chile,1/22/2021,659
Chile,1/23/2021,691
Chile,1/24/2021,694
Chile,1/25/2021,690
Chile,1/26/2021,715
Chile,1/27/2021,706
Chile,1/28/2021,685
Chile,1/29/2021,725
Chile,1/30/2021,731
Chile,1/31/2021,756
Chile,2/1/2021,765
Chile,2/2/2021,764
Chile,2/3/2021,750
Chile,2/4/2021,776
Chile,2/5/2021,732
Chile,2/6/2021,743
Chile,2/7/2021,734
Chile,2/8/2021,730
Chile,2/9/2021,721
Chile,2/10/2021,707
Chile,2/11/2021,700
Chile,2/12/2021,725
Chile,2/13/2021,713
Chile,2/14/2021,719
Chile,2/15/2021,723
Chile,2/16/2021,723
Chile,2/17/2021,747
Chile,2/18/2021,728
Chile,2/19/2021,719
Chile,2/20/2021,719
Chile,2/21/2021,706
Chile,2/22/2021,703
Chile,2/23/2021,705
Chile,2/24/2021,700
Chile,2/25/2021,705
Chile,2/26/2021,724
Chile,2/27/2021,739
Chile,2/28/2021,762
Chile,3/1/2021,770
Chile,3/2/2021,771
Chile,3/3/2021,774
Chile,3/4/2021,787
Chile,3/5/2021,766
Chile,3/6/2021,771
Chile,3/7/2021,788
Chile,3/8/2021,831
Chile,3/9/2021,852
Chile,3/10/2021,895
Chile,3/11/2021,954
Chile,3/12/2021,987
Chile,3/13/2021,1012
Chile,3/14/2021,1021
Chile,3/15/2021,1003
Chile,3/16/2021,1051
Chile,3/17/2021,1087
Chile,3/18/2021,1062
Chile,3/19/2021,1096
Chile,3/20/2021,1119
Chile,3/21/2021,1131
Chile,3/22/2021,1161
Chile,3/23/2021,1163
Chile,3/24/2021,1158
Chile,3/25/2021,1209
Chile,3/26/2021,1226
Chile,3/27/2021,1265
Chile,3/28/2021,1312
Chile,3/29/2021,1308
Chile,3/30/2021,1296
Chile,3/31/2021,1390
Chile,4/1/2021,1416
Chile,4/2/2021,1436
Chile,4/3/2021,1447
Chile,4/4/2021,1412
Chile,4/5/2021,1448
Chile,4/6/2021,1457
Chile,4/7/2021,1501
Chile,4/8/2021,1536
Chile,4/9/2021,1592
Chile,4/10/2021,1618
Chile,4/11/2021,1697
Chile,4/12/2021,1693
Chile,4/13/2021,1701
Chile,4/14/2021,1666
Chile,4/15/2021,1653
Chile,4/16/2021,1604
Chile,4/17/2021,1584
Chile,4/18/2021,1563
Chile,4/19/2021,1552
Chile,4/20/2021,1545
Chile,4/21/2021,1549
Chile,4/22/2021,1524
Chile,4/23/2021,1530
Chile,4/24/2021,1514
Chile,4/25/2021,1495
Chile,4/26/2021,1463
Chile,4/27/2021,1431
Chile,4/28/2021,1411
Chile,4/29/2021,1379
Chile,4/30/2021,1347
Chile,5/1/2021,1322
Chile,5/2/2021,1325
Chile,5/3/2021,1330
Chile,5/4/2021,1332
Chile,5/5/2021,1266
Chile,5/6/2021,1259
Chile,5/7/2021,1223
Chile,5/8/2021,1209
Chile,5/9/2021,1194
Chile,5/10/2021,1186
Chile,5/11/2021,1173
Chile,5/12/2021,1139
Chile,5/13/2021,1119
Chile,5/14/2021,1114
Chile,5/15/2021,1094
Chile,5/16/2021,1067
Chile,5/17/2021,1078
Chile,5/18/2021,1097
Chile,5/19/2021,1136
Chile,5/20/2021,1130
Chile,5/21/2021,1161
Chile,5/22/2021,1199
Chile,5/23/2021,1134
Chile,5/24/2021,1162
Chile,5/25/2021,1168
Chile,5/26/2021,1216
Chile,5/27/2021,1282
Chile,5/28/2021,1325
Chile,5/29/2021,1361
Chile,5/30/2021,1479
Chile,5/31/2021,1451
Chile,6/1/2021,1475
Chile,6/2/2021,1447
Chile,6/3/2021,1455
Chile,6/4/2021,1465
Chile,6/5/2021,1430
Chile,6/6/2021,1425
Chile,6/7/2021,1452
Chile,6/8/2021,1445
Chile,6/9/2021,1435
Chile,6/10/2021,1443
Chile,6/11/2021,1428
Chile,6/12/2021,1418
Chile,6/13/2021,1405
Chile,6/14/2021,1378
Chile,6/15/2021,1382
Chile,6/16/2021,1398
Chile,6/17/2021,1384
Chile,6/18/2021,1339
Chile,6/19/2021,1366
Chile,6/20/2021,1322
Chile,6/21/2021,1323
Chile,6/22/2021,1297
Chile,6/23/2021,1147
Chile,6/24/2021,1160
Chile,6/25/2021,1157
Chile,6/26/2021,1116
Chile,6/27/2021,1129
Chile,6/28/2021,1125
Chile,6/29/2021,1103
Chile,6/30/2021,1079
Chile,7/1/2021,1061
Chile,7/2/2021,1032
Chile,7/3/2021,998
Chile,7/4/2021,955
Chile,7/5/2021,929
Chile,7/6/2021,906
Chile,7/7/2021,972
Chile,7/8/2021,834
Chile,7/9/2021,792
Chile,7/10/2021,727
Chile,7/11/2021,672
Chile,7/12/2021,644
Chile,7/13/2021,634
Chile,7/14/2021,575
Chile,7/15/2021,567
Chile,7/16/2021,551
Chile,7/17/2021,545
Chile,7/18/2021,517
Chile,7/19/2021,505
Chile,7/20/2021,480
Chile,7/21/2021,457
Chile,7/22/2021,443
Chile,7/23/2021,426
Chile,7/24/2021,409
Chile,7/25/2021,426
Chile,7/26/2021,402
Chile,7/27/2021,398
Chile,7/28/2021,369
Chile,7/29/2021,349
Chile,7/30/2021,321
Chile,7/31/2021,325
Chile,8/1/2021,307
Chile,8/2/2021,310
Chile,8/3/2021,304
Chile,8/4/2021,315
Chile,8/5/2021,310
Chile,8/6/2021,313
Chile,8/7/2021,304
Chile,8/8/2021,301
Chile,8/9/2021,288
Chile,8/10/2021,281
Chile,8/11/2021,276
Chile,8/12/2021,278
Chile,8/13/2021,270
Chile,8/14/2021,278
Chile,8/15/2021,270
Chile,8/16/2021,267
Chile,8/17/2021,266
Chile,8/18/2021,255
Chile,8/19/2021,255
Chile,8/20/2021,237
Chile,8/21/2021,213
Chile,8/22/2021,216
Chile,8/23/2021,217
Chile,8/24/2021,211
Chile,8/25/2021,204
Chile,8/26/2021,186
Chile,8/27/2021,193
Chile,8/28/2021,190
Chile,8/29/2021,169
Chile,8/30/2021,164
Chile,8/31/2021,163
Chile,9/1/2021,155
Chile,9/2/2021,148
Chile,9/3/2021,138
Chile,9/4/2021,132
Chile,9/5/2021,140
Chile,9/6/2021,141
Chile,9/7/2021,141
Chile,9/8/2021,145
Chile,9/9/2021,147
Chile,9/10/2021,147
Chile,9/11/2021,144
Chile,9/12/2021,137
Chile,9/13/2021,135
Chile,9/14/2021,135
Chile,9/15/2021,129
Chile,9/16/2021,122
Chile,9/17/2021,121
Chile,9/18/2021,118
Chile,9/19/2021,114
Chile,9/20/2021,108
Chile,9/21/2021,104
Chile,9/22/2021,106
Chile,9/23/2021,104
Chile,9/24/2021,110
Chile,9/25/2021,103
Chile,9/26/2021,104
Chile,9/27/2021,102
Chile,9/28/2021,103
Chile,9/29/2021,104
Chile,9/30/2021,99
Chile,10/1/2021,94
Chile,10/2/2021,105
Chile,10/3/2021,108
Chile,10/4/2021,120
Chile,10/5/2021,120
Chile,10/6/2021,117
Chile,10/7/2021,131
Chile,10/8/2021,132
Chile,10/9/2021,126
Chile,10/10/2021,122
Chile,10/11/2021,118
Chile,10/12/2021,117
Chile,10/13/2021,108
Chile,10/14/2021,126
Chile,10/15/2021,135
Chile,10/16/2021,147
Chile,10/17/2021,155
Chile,10/18/2021,150
Chile,10/19/2021,156
Chile,10/20/2021,181
Chile,10/21/2021,172
Chile,10/22/2021,186
Chile,10/23/2021,187
Chile,10/24/2021,191
Chile,10/25/2021,198
Chile,10/26/2021,198
Chile,10/27/2021,201
Chile,10/28/2021,198
Chile,10/29/2021,193
Chile,10/30/2021,201
Chile,10/31/2021,206
Chile,11/1/2021,213
Chile,11/2/2021,216
Chile,11/3/2021,190
Chile,11/4/2021,212
Chile,11/5/2021,215
Chile,11/6/2021,214
Chile,11/7/2021,219
Chile,11/8/2021,218
Chile,11/9/2021,222
Chile,11/10/2021,255
Chile,11/11/2021,240
Chile,11/12/2021,241
Chile,11/13/2021,259
Chile,11/14/2021,259
Chile,11/15/2021,257
Chile,11/16/2021,256
Chile,11/17/2021,247
Chile,11/18/2021,264
Chile,11/19/2021,279
Chile,11/20/2021,263
Chile,11/21/2021,259
Chile,11/22/2021,263
Chile,11/23/2021,271
Chile,11/24/2021,279
Chile,11/25/2021,276
Chile,11/26/2021,259
Chile,11/27/2021,258
Chile,11/28/2021,268
Chile,11/29/2021,264
Chile,11/30/2021,253
Chile,12/1/2021,252
Chile,12/2/2021,248
Chile,12/3/2021,257
Chile,12/4/2021,257
Chile,12/5/2021,253
Chile,12/6/2021,255
Chile,12/7/2021,257
Chile,12/8/2021,259
Chile,12/9/2021,245
Chile,12/10/2021,223
Chile,12/11/2021,230
Chile,12/12/2021,220
Chile,12/13/2021,216
Chile,12/14/2021,215
Chile,12/15/2021,196
Chile,12/16/2021,203
Chile,12/17/2021,208
Chile,12/18/2021,187
Chile,12/19/2021,175
Chile,12/20/2021,179
Chile,12/21/2021,165
Chile,12/22/2021,163
Chile,12/23/2021,153
Chile,12/24/2021,145
Chile,12/25/2021,140
Chile,12/26/2021,142
Chile,12/27/2021,133
Chile,12/28/2021,137
Chile,12/29/2021,137
Chile,12/30/2021,130
Chile,12/31/2021,126
Chile,1/1/2022,131
Chile,1/2/2022,135
Chile,1/3/2022,131
Chile,1/4/2022,134
Chile,1/5/2022,137
Chile,1/6/2022,139
Chile,1/7/2022,136
Chile,1/8/2022,130
Chile,1/9/2022,128
Chile,1/10/2022,129
Chile,1/11/2022,131
Chile,1/12/2022,125
Chile,1/13/2022,115
Chile,1/14/2022,118
Chile,1/15/2022,115
Chile,1/16/2022,113
Chile,1/17/2022,118
Chile,1/18/2022,115
Chile,1/19/2022,120
Chile,1/20/2022,137
Chile,1/21/2022,137
Chile,1/22/2022,148
Chile,1/23/2022,152
Chile,1/24/2022,154
Chile,1/25/2022,154
Chile,1/26/2022,152
Chile,1/27/2022,151
Chile,1/28/2022,162
Chile,1/29/2022,167
Chile,1/30/2022,177
Chile,1/31/2022,176
Chile,2/1/2022,197
Chile,2/2/2022,244
Chile,2/3/2022,264
Chile,2/4/2022,286
Chile,2/5/2022,305
Chile,2/6/2022,343
Chile,2/7/2022,379
Chile,2/8/2022,388
Chile,2/9/2022,410
Chile,2/10/2022,436
Chile,2/11/2022,459
Chile,2/12/2022,477
Chile,2/13/2022,475
Chile,2/14/2022,474
Chile,2/15/2022,468
Chile,2/16/2022,484
Chile,2/17/2022,499
Chile,2/18/2022,496
Chile,2/19/2022,508
Chile,2/20/2022,503
Chile,2/21/2022,495
Chile,2/22/2022,509
Chile,2/23/2022,498
Chile,2/24/2022,494
Chile,2/25/2022,510
Chile,2/26/2022,507
Chile,2/27/2022,499
Chile,2/28/2022,493
Chile,3/1/2022,493
Chile,3/2/2022,462
Chile,3/3/2022,459
Chile,3/4/2022,428
Chile,3/5/2022,418
Chile,3/6/2022,448
Chile,3/7/2022,436
Chile,3/8/2022,417
Chile,3/9/2022,401
Chile,3/10/2022,366
Chile,3/11/2022,359
Chile,3/12/2022,328
Chile,3/13/2022,283
Chile,3/14/2022,281
Chile,3/15/2022,273
Chile,3/16/2022,268
Chile,3/17/2022,260
Chile,3/18/2022,253
Chile,3/19/2022,243
Chile,3/20/2022,229
Chile,3/21/2022,225
Chile,3/22/2022,217
Chile,3/23/2022,196
Chile,3/24/2022,174
Chile,3/25/2022,184
Chile,3/26/2022,176
Chile,3/27/2022,170
Chile,3/28/2022,165
Chile,3/29/2022,156
Chile,3/30/2022,142
Chile,3/31/2022,133
Chile,4/1/2022,120
Chile,4/2/2022,128
Chile,4/3/2022,131
Chile,4/4/2022,132
Chile,4/5/2022,128
Chile,4/6/2022,121
Chile,4/7/2022,118
Chile,4/8/2022,102
Chile,4/9/2022,98
Chile,4/10/2022,90
Chile,4/11/2022,83
Chile,4/12/2022,72
Chile,4/13/2022,77
Chile,4/14/2022,75
Chile,4/15/2022,77
Chile,4/16/2022,63
Chile,4/17/2022,60
Chile,4/18/2022,60
Chile,4/19/2022,69
Chile,4/20/2022,58
Chile,4/21/2022,57
Chile,4/22/2022,58
Chile,4/23/2022,58
Chile,4/24/2022,59
Chile,4/25/2022,59
Chile,4/26/2022,54
Chile,4/27/2022,54
Chile,4/28/2022,51
Chile,4/29/2022,51
Chile,4/30/2022,48
Chile,5/1/2022,46
Chile,5/2/2022,47
Chile,5/3/2022,41
Chile,5/4/2022,40
Chile,5/5/2022,35
Chile,5/6/2022,34
Chile,5/7/2022,34
Chile,5/8/2022,34
Chile,5/9/2022,31
Chile,5/10/2022,33
Chile,5/11/2022,36
Chile,5/12/2022,40
Chile,5/13/2022,40
Chile,5/14/2022,40
Chile,5/15/2022,41
Chile,5/16/2022,44
Chile,5/17/2022,49
Chile,5/18/2022,49
Chile,5/19/2022,50
Chile,5/20/2022,47
Chile,5/21/2022,49
Chile,5/22/2022,48
Chile,5/23/2022,47
Chile,5/24/2022,43
Chile,5/25/2022,45
Chile,5/26/2022,49
Chile,5/27/2022,49
Chile,5/28/2022,50
Chile,5/29/2022,51
Chile,5/30/2022,56
Chile,5/31/2022,62
Chile,6/1/2022,61
Chile,6/2/2022,80
Chile,6/3/2022,86
Chile,6/4/2022,91
Chile,6/5/2022,100
Chile,6/6/2022,97
Chile,6/7/2022,105
Chile,6/8/2022,108
Chile,6/9/2022,87
Chile,6/10/2022,89
Chile,6/11/2022,90
Chile,6/12/2022,87
Chile,6/13/2022,86
Chile,6/14/2022,86
Chile,6/15/2022,87
Chile,6/16/2022,89
Chile,6/17/2022,94
Chile,6/18/2022,98
Chile,6/19/2022,98
Chile,6/20/2022,98
Chile,6/21/2022,91
Chile,6/22/2022,87
Chile,6/23/2022,97
Chile,6/24/2022,89
Chile,6/25/2022,86
Chile,6/26/2022,85
Chile,6/27/2022,87
Chile,6/28/2022,75
Chile,6/29/2022,82
Chile,6/30/2022,81
Chile,7/1/2022,89
Chile,7/2/2022,97
Chile,7/3/2022,95
Chile,7/4/2022,102
Chile,7/5/2022,116
Chile,7/6/2022,119
Chile,7/7/2022,116
Chile,7/8/2022,113
Chile,7/9/2022,96
Chile,7/10/2022,100
Chile,7/11/2022,96
Chile,7/12/2022,99
Chile,7/13/2022,99
Chile,7/14/2022,94
Chile,7/15/2022,93
Chile,7/16/2022,106
Chile,7/17/2022,102
Chile,7/18/2022,97
Chile,7/19/2022,91
Chile,7/20/2022,81
Chile,7/21/2022,84
Chile,7/22/2022,83
Chile,7/23/2022,81
Chile,7/24/2022,78
Chile,7/25/2022,79
Chile,7/26/2022,78
Chile,7/27/2022,93
Chile,7/28/2022,92
Chile,7/29/2022,94
Chile,7/30/2022,88
Chile,7/31/2022,93
Chile,8/1/2022,96
Chile,8/2/2022,93
Chile,8/3/2022,87
Chile,8/4/2022,82
Chile,8/5/2022,85
Chile,8/6/2022,84
Chile,8/7/2022,81
Chile,8/8/2022,79
Chile,8/9/2022,81
Chile,8/10/2022,73
Chile,8/11/2022,78
Chile,8/12/2022,70
Chile,8/13/2022,71
Chile,8/14/2022,71
Chile,8/15/2022,69
Chile,8/16/2022,60
Chile,8/17/2022,66
Chile,8/18/2022,63
Chile,8/19/2022,67
Chile,8/20/2022,67
Chile,8/21/2022,72
Chile,8/22/2022,75
Chile,8/23/2022,89
Chile,8/24/2022,83
Chile,8/25/2022,82
Chile,8/26/2022,81
Chile,8/27/2022,72
Chile,8/28/2022,67
Chile,8/29/2022,66
Chile,8/30/2022,55
Chile,8/31/2022,57
Chile,9/1/2022,53
Chile,9/2/2022,61
Chile,9/3/2022,68
Chile,9/4/2022,65
Chile,9/5/2022,63
Chile,9/6/2022,69
Chile,9/7/2022,67
Chile,9/8/2022,69
Chile,9/9/2022,61
Chile,9/10/2022,62
Chile,9/11/2022,67
Chile,9/12/2022,64
Chile,9/13/2022,57
Chile,9/14/2022,56
Chile,9/15/2022,57
Chile,9/16/2022,51
Chile,9/17/2022,45
Chile,9/18/2022,41
Chile,9/19/2022,49
Chile,9/20/2022,47
Chile,9/21/2022,50
Chile,9/22/2022,49
Chile,9/23/2022,46
Chile,9/24/2022,49
Chile,9/25/2022,50
Chile,9/26/2022,47
Chile,9/27/2022,53
Chile,9/28/2022,53
Chile,9/29/2022,58
Chile,9/30/2022,62
Chile,10/1/2022,61
Chile,10/2/2022,64
Chile,10/3/2022,59
Chile,10/4/2022,58
Chile,10/5/2022,55
Chile,10/6/2022,47
Chile,10/7/2022,45
Chile,10/8/2022,50
Chile,10/9/2022,45
Chile,10/10/2022,45
Chile,10/11/2022,35
Chile,10/12/2022,34
Chile,10/13/2022,37
Chile,10/14/2022,34
Chile,10/15/2022,30
Chile,10/16/2022,28
Chile,10/17/2022,28
Chile,10/18/2022,36
Chile,10/19/2022,37
Chile,10/20/2022,35
Chile,10/21/2022,45
Chile,10/22/2022,51
Chile,10/23/2022,54
Chile,10/24/2022,56
Chile,10/25/2022,58
Chile,10/26/2022,63
Chile,10/27/2022,63
Chile,10/28/2022,60
Chile,10/29/2022,55
Chile,10/30/2022,56
Chile,10/31/2022,64
Chile,11/1/2022,57
Chile,11/2/2022,49
Chile,11/3/2022,53
Chile,11/4/2022,51
Chile,11/5/2022,62
Chile,11/6/2022,61
Chile,11/7/2022,51
Chile,11/8/2022,64
Chile,11/9/2022,71
Chile,11/10/2022,75
Chile,11/11/2022,84
Chile,11/12/2022,75
Chile,11/13/2022,76
Chile,11/14/2022,77
Chile,11/15/2022,77
Chile,11/16/2022,78
Chile,11/17/2022,76
Chile,11/18/2022,73
Chile,11/19/2022,83
Chile,11/20/2022,88
Chile,11/21/2022,89
Chile,11/22/2022,88
Chile,11/23/2022,89
Chile,11/24/2022,85
Chile,11/25/2022,81
Chile,11/26/2022,71
Chile,11/27/2022,67
Chile,11/28/2022,63
Chile,11/29/2022,60
Chile,11/30/2022,54
Chile,12/1/2022,53
Chile,12/2/2022,53
Chile,12/3/2022,48
Chile,12/4/2022,52
Chile,12/5/2022,54
Chile,12/6/2022,51
Chile,12/7/2022,50
Chile,12/8/2022,53
Chile,12/9/2022,44
Chile,12/10/2022,49
Chile,12/11/2022,43
Chile,12/12/2022,41
Chile,12/13/2022,42
Chile,12/14/2022,42
Chile,12/15/2022,38
Chile,12/16/2022,46
Chile,12/17/2022,51
Chile,12/18/2022,51
Chile,12/19/2022,52
Chile,12/20/2022,51
Chile,12/21/2022,48
Chile,12/22/2022,44
Chile,12/23/2022,39
Chile,12/24/2022,32
Chile,12/25/2022,33
Chile,12/26/2022,38
Chile,12/27/2022,35
Chile,12/28/2022,44
Chile,12/29/2022,50
Chile,12/30/2022,58
Chile,12/31/2022,55
Chile,1/1/2023,79
Chile,1/2/2023,77
Chile,1/3/2023,70
Chile,1/4/2023,72
Chile,1/19/2023,50
Chile,1/20/2023,52
Chile,1/21/2023,60
Chile,1/22/2023,63
Chile,1/23/2023,53
Chile,1/24/2023,60
Chile,1/25/2023,57
Chile,1/26/2023,51
Chile,1/27/2023,43
Chile,1/28/2023,45
Chile,1/29/2023,45
Chile,1/30/2023,45
Chile,1/31/2023,36
Chile,2/1/2023,38
Chile,2/2/2023,44
Chile,2/3/2023,44
Chile,2/4/2023,41
Chile,2/5/2023,44
Chile,2/6/2023,43
Chile,2/7/2023,43
Chile,2/8/2023,39
Chile,2/9/2023,35
Chile,2/10/2023,33
Chile,2/11/2023,33
Chile,2/12/2023,27
Chile,2/13/2023,29
Chile,2/14/2023,29
Chile,2/15/2023,32
Chile,2/16/2023,32
Chile,2/17/2023,33
Chile,2/18/2023,30
Chile,2/19/2023,31
Chile,2/20/2023,28
Chile,2/21/2023,27
Chile,2/22/2023,24
Chile,2/23/2023,23
Chile,2/24/2023,23
Chile,2/25/2023,26
Chile,2/26/2023,28
Chile,2/27/2023,28
Chile,2/28/2023,31
Chile,3/1/2023,35
Chile,3/2/2023,35
Chile,3/3/2023,32
Chile,3/4/2023,29
Chile,3/5/2023,26
Chile,3/6/2023,26
Chile,3/7/2023,31
Chile,3/8/2023,31
Chile,3/9/2023,35
Chile,3/10/2023,39
Chile,3/11/2023,41
Chile,3/12/2023,45
Chile,3/13/2023,46
Chile,3/14/2023,39
Chile,3/15/2023,36
Chile,3/16/2023,35
Chile,3/17/2023,36
Chile,3/18/2023,37
Chile,3/19/2023,37
Chile,3/20/2023,39
Chile,3/21/2023,40
Chile,3/22/2023,42
Chile,3/23/2023,40
