Country,Date,Weekly new ICU admissions,Weekly new hospital admissions,Mortality
Chile,4/19/2020,920,3994,46
Chile,4/26/2020,1549,4506,53
Chile,5/3/2020,1482,5923,55
Chile,5/10/2020,1890,9679,66
Chile,5/17/2020,2721,15112,57
Chile,5/24/2020,4205,22456,117
Chile,5/31/2020,5152,28448,252
Chile,6/7/2020,5354,28940,324
Chile,6/14/2020,5573,29869,544
Chile,6/21/2020,6550,28329,1560
Chile,6/28/2020,6696,25815,1194
Chile,7/5/2020,5696,21335,1052
Chile,7/12/2020,5238,19040,845
Chile,7/19/2020,4566,15834,689
Chile,7/26/2020,3746,13411,1564
Chile,8/2/2020,3174,12287,575
Chile,8/9/2020,2815,11037,513
Chile,8/16/2020,2581,10286,478
Chile,8/23/2020,2300,9825,384
Chile,8/30/2020,2280,9522,397
Chile,9/6/2020,2136,9830,389
Chile,9/13/2020,2454,9536,370
Chile,9/20/2020,2261,8854,344
Chile,9/27/2020,2166,8518,359
Chile,10/4/2020,2108,8703,337
Chile,10/11/2020,2063,8458,328
Chile,10/18/2020,1963,7620,353
Chile,10/25/2020,1858,7407,316
Chile,11/1/2020,1974,6898,304
Chile,11/8/2020,1829,6574,315
Chile,11/15/2020,1786,6605,292
Chile,11/22/2020,1865,6660,278
Chile,11/29/2020,1749,7136,253
Chile,12/6/2020,1833,6705,292
Chile,12/13/2020,1631,6868,270
Chile,12/20/2020,1868,7740,254
Chile,12/27/2020,2276,8538,255
Chile,1/3/2021,2419,9448,303
Chile,1/10/2021,2912,11890,633
Chile,1/17/2021,3864,14764,398
Chile,1/24/2021,4463,16773,419
Chile,1/31/2021,5008,17673,485
Chile,2/7/2021,5264,16936,556
Chile,2/14/2021,5015,15643,548
Chile,2/21/2021,5065,15709,531
Chile,2/28/2021,5038,16312,502
Chile,3/7/2021,5427,17826,532
Chile,3/14/2021,6552,20709,566
Chile,3/21/2021,7549,23020,606
Chile,3/28/2021,8494,26542,473
Chile,4/4/2021,9705,29000,871
Chile,4/11/2021,10849,30804,689
Chile,4/18/2021,11464,29791,842
Chile,4/25/2021,10709,27991,687
Chile,5/2/2021,9678,26519,715
Chile,5/9/2021,8813,24119,644
Chile,5/16/2021,7892,23170,633
Chile,5/23/2021,7935,24654,652
Chile,5/30/2021,8993,27278,661
Chile,6/6/2021,10148,28568,769
Chile,6/13/2021,10026,29130,763
Chile,6/20/2021,9569,27707,813
Chile,6/27/2021,8329,22969,771
Chile,7/4/2021,7353,18529,810
Chile,7/11/2021,5832,15001,794
Chile,7/18/2021,4033,11877,636
Chile,7/25/2021,3146,9250,555
Chile,8/1/2021,2471,7386,490
Chile,8/8/2021,2157,6456,503
Chile,8/15/2021,1941,5497,380
Chile,8/22/2021,1709,4806,274
