Country,Code,Year,OBS_VALUE
Afghanistan,AFG,2021,0.0
Afghanistan,AFG,2021,8200.0
Afghanistan,AFG,2021,54000.0
Afghanistan,AFG,2021,120000.0
Afghanistan,AFG,2021,240000.0
Afghanistan,AFG,2021,504502.0
Afghanistan,AFG,2021,547901.0
Afghanistan,AFG,2021,573277.0
Afghanistan,AFG,2021,590454.0
Afghanistan,AFG,2021,593313.0
Afghanistan,AFG,2021,600152.0
Afghanistan,AFG,2021,626290.0
Afghanistan,AFG,2021,630305.0
Afghanistan,AFG,2021,641295.0
Afghanistan,AFG,2021,662003.0
Afghanistan,AFG,2021,765890.0
Afghanistan,AFG,2021,835694.0
Afghanistan,AFG,2021,886854.0
Afghanistan,AFG,2021,915671.0
Afghanistan,AFG,2021,934463.0
Afghanistan,AFG,2021,962093.0
Afghanistan,AFG,2021,1024168.0
Afghanistan,AFG,2021,1094257.0
Afghanistan,AFG,2021,1171064.0
Afghanistan,AFG,2021,1201286.0
Afghanistan,AFG,2021,1979652.0
Afghanistan,AFG,2021,2369625.0
Afghanistan,AFG,2021,4018197.0
Afghanistan,AFG,2021,4674518.0
Afghanistan,AFG,2022,4903368.0
Afghanistan,AFG,2022,4925111.0
Afghanistan,AFG,2022,4954809.0
Afghanistan,AFG,2022,4985047.0
Afghanistan,AFG,2022,5004050.0
Afghanistan,AFG,2022,5046054.0
Afghanistan,AFG,2022,5074196.0
Afghanistan,AFG,2022,5081064.0
Afghanistan,AFG,2022,5125146.0
Afghanistan,AFG,2022,5152297.0
Afghanistan,AFG,2022,5216998.0
Afghanistan,AFG,2022,5321308.0
Afghanistan,AFG,2022,5412309.0
Afghanistan,AFG,2022,5535254.0
Afghanistan,AFG,2022,5597130.0
Afghanistan,AFG,2022,5731146.0
Afghanistan,AFG,2022,5751015.0
Afghanistan,AFG,2022,5872684.0
Afghanistan,AFG,2022,5940400.0
Afghanistan,AFG,2022,5948889.0
Afghanistan,AFG,2022,5985756.0
Afghanistan,AFG,2022,5986139.0
Afghanistan,AFG,2022,6021468.0
Afghanistan,AFG,2022,6023425.0
Afghanistan,AFG,2022,6029737.0
Afghanistan,AFG,2022,6066579.0
Afghanistan,AFG,2022,6118557.0
Afghanistan,AFG,2022,6171652.0
Afghanistan,AFG,2022,6295222.0
Afghanistan,AFG,2022,6355931.0
Afghanistan,AFG,2022,6408475.0
Afghanistan,AFG,2022,6445359.0
Afghanistan,AFG,2022,6491111.0
Afghanistan,AFG,2022,6706843.0
Afghanistan,AFG,2022,7885045.0
Afghanistan,AFG,2022,8040605.0
Afghanistan,AFG,2022,9822860.0
Afghanistan,AFG,2022,11216694.0
Afghanistan,AFG,2022,11391703.0
Afghanistan,AFG,2022,11562525.0
Afghanistan,AFG,2022,11588893.0
Afghanistan,AFG,2022,11725188.0
Afghanistan,AFG,2022,11734635.0
Afghanistan,AFG,2022,11820186.0
Afghanistan,AFG,2022,11868997.0
Afghanistan,AFG,2022,11881035.0
Afghanistan,AFG,2022,11923733.0
Afghanistan,AFG,2022,11951964.0
Afghanistan,AFG,2022,11977773.0
Afghanistan,AFG,2022,12055358.0
Afghanistan,AFG,2022,12103780.0
Afghanistan,AFG,2022,12140367.0
Afghanistan,AFG,2022,12174141.0
Afghanistan,AFG,2022,12202136.0
Afghanistan,AFG,2022,12216936.0
Afghanistan,AFG,2022,12275911.0
Afghanistan,AFG,2022,12304901.0
Afghanistan,AFG,2022,12449870.0
Afghanistan,AFG,2023,12526397.0
Afghanistan,AFG,2023,12603486.0
Afghanistan,AFG,2023,12672379.0
Afghanistan,AFG,2023,12684950.0
Afghanistan,AFG,2023,12768909.0
Afghanistan,AFG,2023,12788310.0
Afghanistan,AFG,2023,13603457.0
Afghanistan,AFG,2023,13910490.0
Afghanistan,AFG,2023,14743912.0
Afghanistan,AFG,2023,15093798.0
Afghanistan,AFG,2023,15966423.0
Afghanistan,AFG,2023,16248588.0
Afghanistan,AFG,2023,16250654.0
Afghanistan,AFG,2023,16474895.0
Afghanistan,AFG,2023,16482384.0
Afghanistan,AFG,2023,16498498.0
Afghanistan,AFG,2023,16499153.0
Afghanistan,AFG,2023,16586584.0
Afghanistan,AFG,2023,16625558.0
Afghanistan,AFG,2023,16693053.0
Afghanistan,AFG,2023,16727076.0
Afghanistan,AFG,2023,16826772.0
Afghanistan,AFG,2023,16844012.0
Afghanistan,AFG,2023,16847328.0
Afghanistan,AFG,2023,16902292.0
Afghanistan,AFG,2023,16918550.0
Afghanistan,AFG,2023,16960754.0
Afghanistan,AFG,2023,17060992.0
Afghanistan,AFG,2023,17116708.0
Afghanistan,AFG,2023,17479380.0
Afghanistan,AFG,2023,18434710.0
Afghanistan,AFG,2023,19712836.0
Afghanistan,AFG,2023,20000706.0
Afghanistan,AFG,2023,20013614.0
Afghanistan,AFG,2023,20241838.0
Afghanistan,AFG,2023,20324304.0
Afghanistan,AFG,2023,20393576.0
Afghanistan,AFG,2023,20463360.0
Afghanistan,AFG,2023,20472584.0
Afghanistan,AFG,2023,20536428.0
Afghanistan,AFG,2023,20556364.0
Afghanistan,AFG,2023,20575008.0
Afghanistan,AFG,2023,20662416.0
Afghanistan,AFG,2023,20729988.0
Afghanistan,AFG,2023,20790068.0
Afghanistan,AFG,2023,20837292.0
Afghanistan,AFG,2023,20876492.0
Afghanistan,AFG,2023,20939198.0
Afghanistan,AFG,2023,21022524.0
Afghanistan,AFG,2023,21120112.0
Afghanistan,AFG,2023,21258362.0
Afghanistan,AFG,2023,21271488.0
Afghanistan,AFG,2023,21380666.0
Afghanistan,AFG,2023,21466978.0
Afghanistan,AFG,2023,21565416.0
Afghanistan,AFG,2023,21716120.0
Afghanistan,AFG,2023,21763332.0
Afghanistan,AFG,2023,21893320.0
Afghanistan,AFG,2023,22085052.0
Afghanistan,AFG,2023,22102080.0
Afghanistan,AFG,2023,22207574.0
Afghanistan,AFG,2023,22495714.0
Afghanistan,AFG,2023,22606932.0
Afghanistan,AFG,2023,22964750.0
Africa,,2020,826675.0
Africa,,2020,826675.0
Africa,,2020,826675.0
Africa,,2020,826675.0
Africa,,2020,826675.0
Africa,,2020,826675.0
Africa,,2020,826675.0
Africa,,2020,826675.0
Africa,,2020,826675.0
Africa,,2020,826675.0
Africa,,2020,826675.0
Africa,,2020,826675.0
Africa,,2020,826675.0
Africa,,2020,826675.0
Africa,,2020,826675.0
Africa,,2020,826675.0
Africa,,2020,826675.0
Africa,,2020,826675.0
Africa,,2020,826675.0
Africa,,2020,826675.0
Africa,,2020,826675.0
Africa,,2020,826675.0
Africa,,2020,826675.0
Africa,,2020,826675.0
Africa,,2020,826675.0
Africa,,2020,826675.0
Africa,,2020,826675.0
Africa,,2020,826675.0
Africa,,2020,826675.0
Africa,,2020,826675.0
Africa,,2021,826675.0
Africa,,2021,826675.0
Africa,,2021,826675.0
Africa,,2021,826675.0
Africa,,2021,826675.0
Africa,,2021,826675.0
Africa,,2021,826675.0
Africa,,2021,826675.0
Africa,,2021,826675.0
Africa,,2021,827175.0
Africa,,2021,827675.0
Africa,,2021,828175.0
Africa,,2021,828675.0
Africa,,2021,829675.0
Africa,,2021,830675.0
Africa,,2021,833675.0
Africa,,2021,835000.3
Africa,,2021,836325.7
Africa,,2021,837651.0
Africa,,2021,839838.0
Africa,,2021,841701.5
Africa,,2021,843565.0
Africa,,2021,845028.0
Africa,,2021,845796.0
Africa,,2021,846783.2
Africa,,2021,849854.9
Africa,,2021,852978.6
Africa,,2021,856419.4
Africa,,2021,903750.1
Africa,,2021,950434.9
Africa,,2021,994533.56
Africa,,2021,1076713.2
Africa,,2021,1142018.6
Africa,,2021,1200824.0
Africa,,2021,1251808.8
Africa,,2021,1315980.4
Africa,,2021,1379371.1
Africa,,2021,1430687.5
Africa,,2021,1482003.9
Africa,,2021,1556730.2
Africa,,2021,1698268.6
Africa,,2021,1818194.0
Africa,,2021,2084024.9
Africa,,2021,2369506.8
Africa,,2021,2536882.5
Africa,,2021,2704258.5
Africa,,2021,2914213.8
Africa,,2021,3104682.8
Africa,,2021,3274008.0
Africa,,2021,3423648.2
Africa,,2021,3560033.5
Africa,,2021,3655706.8
