Country,Pfizer/BioNTech,Moderna,Oxford/AstraZeneca,Johnson&Johnson,Sputnik V
Austria,17408958255,1815415786,1897425579,408480232,0
Belgium,22460445333,4440128600,3347814008,485250404,0
Canada,67099648403,28769411851,3387722882,21965292,0
Chile,9230097710,0,631144786,0,0
Czechia,16939350837,1769923408,1054486361,444078882,25137
Denmark,12540899956,1876242474,195986219,52399708,0
Estonia,1753730113,261996135,288639504,85523302,0
Finland,10907845778,2112189106,667102536,0,0
France,128714144388,24902884135,9392732510,1243367272,0
Germany,148702695308,32057349220,15281175650,4200046814,0
Hungary,10712249225,1207041074,1503230303,366650602,2186585494
Iceland,71295942,6046023,949,79430,0
Ireland,9992027138,1680878776,1440177894,274910862,0
Italy,102789605760,34591586440,14346686712,1746720515,0
Japan,283360794852,76855664444,122102010,0,0
Latvia,1758880400,743928967,315101032,312266559,0
Lithuania,3694329226,373293233,637083789,317325947,0
Luxembourg,814193291,333684867,124803734,47111897,0
Netherlands,25924413243,10111326524,2901117085,860335735,0
Norway,10458750623,2510743746,185835985,8371592,0
Poland,45271614083,4333441942,6300640384,2979480452,0
Portugal,19243515778,4018003188,2711456191,1278832826,0
Slovenia,2483688177,267507631,383206114,151334556,0
Spain,80334979422,24763849784,11575237543,2280416382,0
Sweden,17997375802,4172801435,1571098997,0,0
Switzerland,6668579236,11365962831,0,62463981,0
United States,422535367774,271269232346,0,21673505937,0
