AUS,Australia,Annual,Expenditure,"US dollars, PPP converted",,,TIME_PERIOD,OBS_VALUE,UNIT_MULT,Unit multiplier
AUS,Australia,Annual,Expenditure,"US dollars, PPP converted",,,2020,1335.406,6,Millions
AUS,Australia,Annual,Expenditure,"US dollars, PPP converted",,,2020,205.063,6,Millions
AUS,Australia,Annual,Expenditure,"US dollars, PPP converted",,,2021,5.511,6,Millions
AUS,Australia,Annual,Expenditure,"US dollars, PPP converted",,,2022,11.734,6,Millions
AUS,Australia,Annual,Expenditure,"US dollars, PPP converted",,,2022,1717.584,6,Millions
AUS,Australia,Annual,Expenditure,"US dollars, PPP converted",,,2022,0.542,6,Millions
AUS,Australia,Annual,Expenditure,"US dollars, PPP converted",,,2021,2.359,6,Millions
AUS,Australia,Annual,Expenditure,"US dollars, PPP converted",,,2022,1108.133,6,Millions
AUS,Australia,Annual,Expenditure,"US dollars, PPP converted",,,2021,3968.391,6,Millions
AUS,Australia,Annual,Expenditure,"US dollars, PPP converted",,,2020,2238.946,6,Millions
AUS,Australia,Annual,Expenditure,"US dollars, PPP converted",,,2023,88.055,6,Millions
AUS,Australia,Annual,Expenditure,"US dollars, PPP converted",,,2021,393.047,6,Millions
AUS,Australia,Annual,Expenditure,"US dollars, PPP converted",,,2021,1472.767,6,Millions
AUS,Australia,Annual,Expenditure,"US dollars, PPP converted",,,2021,10845.696,6,Millions
AUS,Australia,Annual,Expenditure,"US dollars, PPP converted",,,2023,861.904,6,Millions
AUS,Australia,Annual,Expenditure,"US dollars, PPP converted",,,2020,55.814,6,Millions
AUS,Australia,Annual,Expenditure,"US dollars, PPP converted",,,2022,45.003,6,Millions
AUS,Australia,Annual,Expenditure,"US dollars, PPP converted",,,2021,85.288,6,Millions
AUS,Australia,Annual,Expenditure,"US dollars, PPP converted",,,2021,843.101,6,Millions
AUS,Australia,Annual,Expenditure,"US dollars, PPP converted",,,2022,3.951,6,Millions
AUS,Australia,Annual,Expenditure,"US dollars, PPP converted",,,2020,321.062,6,Millions
AUS,Australia,Annual,Expenditure,"US dollars, PPP converted",,,2020,44.152,6,Millions
AUS,Australia,Annual,Expenditure,"US dollars, PPP converted",,,2022,3.777,6,Millions
AUT,Austria,Annual,Expenditure,"US dollars, PPP converted",,,2021,3.148,6,Millions
AUT,Austria,Annual,Expenditure,"US dollars, PPP converted",,,2022,25.724,6,Millions
AUT,Austria,Annual,Expenditure,"US dollars, PPP converted",,,2020,4.633,6,Millions
AUT,Austria,Annual,Expenditure,"US dollars, PPP converted",,,2022,87.949,6,Millions
AUT,Austria,Annual,Expenditure,"US dollars, PPP converted",,,2021,156.733,6,Millions
AUT,Austria,Annual,Expenditure,"US dollars, PPP converted",,,2020,94.326,6,Millions
AUT,Austria,Annual,Expenditure,"US dollars, PPP converted",,,2022,668.843,6,Millions
AUT,Austria,Annual,Expenditure,"US dollars, PPP converted",,,2021,806.403,6,Millions
AUT,Austria,Annual,Expenditure,"US dollars, PPP converted",,,2020,0.199,6,Millions
AUT,Austria,Annual,Expenditure,"US dollars, PPP converted",,,2020,25.572,6,Millions
AUT,Austria,Annual,Expenditure,"US dollars, PPP converted",,,2021,19.619,6,Millions
AUT,Austria,Annual,Expenditure,"US dollars, PPP converted",,,2020,114.763,6,Millions
AUT,Austria,Annual,Expenditure,"US dollars, PPP converted",,,2021,24.349,6,Millions
AUT,Austria,Annual,Expenditure,"US dollars, PPP converted",,,2020,135.74,6,Millions
AUT,Austria,Annual,Expenditure,"US dollars, PPP converted",,,2021,12.273,6,Millions
AUT,Austria,Annual,Expenditure,"US dollars, PPP converted",,,2020,21.405,6,Millions
AUT,Austria,Annual,Expenditure,"US dollars, PPP converted",,,2022,1.763,6,Millions
AUT,Austria,Annual,Expenditure,"US dollars, PPP converted",,,2022,15.688,6,Millions
AUT,Austria,Annual,Expenditure,"US dollars, PPP converted",,,2021,15.092,6,Millions
AUT,Austria,Annual,Expenditure,"US dollars, PPP converted",,,2021,63.234,6,Millions
AUT,Austria,Annual,Expenditure,"US dollars, PPP converted",,,2020,45.002,6,Millions
AUT,Austria,Annual,Expenditure,"US dollars, PPP converted",,,2021,5.265,6,Millions
AUT,Austria,Annual,Expenditure,"US dollars, PPP converted",,,2020,22.468,6,Millions
AUT,Austria,Annual,Expenditure,"US dollars, PPP converted",,,2022,52.397,6,Millions
AUT,Austria,Annual,Expenditure,"US dollars, PPP converted",,,2021,130.073,6,Millions
AUT,Austria,Annual,Expenditure,"US dollars, PPP converted",,,2020,58.575,6,Millions
AUT,Austria,Annual,Expenditure,"US dollars, PPP converted",,,2020,0.262,6,Millions
AUT,Austria,Annual,Expenditure,"US dollars, PPP converted",,,2020,27.519,6,Millions
AUT,Austria,Annual,Expenditure,"US dollars, PPP converted",,,2022,0.07,6,Millions
AUT,Austria,Annual,Expenditure,"US dollars, PPP converted",,,2021,0.083,6,Millions
BEL,Belgium,Annual,Expenditure,"US dollars, PPP converted",,,2022,148.048,6,Millions
BEL,Belgium,Annual,Expenditure,"US dollars, PPP converted",,,2021,540.997,6,Millions
BEL,Belgium,Annual,Expenditure,"US dollars, PPP converted",,,2022,0.214,6,Millions
BEL,Belgium,Annual,Expenditure,"US dollars, PPP converted",,,2021,0.075,6,Millions
BEL,Belgium,Annual,Expenditure,"US dollars, PPP converted",,,2021,309.18,6,Millions
BEL,Belgium,Annual,Expenditure,"US dollars, PPP converted",,,2020,374.5,6,Millions
