Country,Date,Pfizer/BioNTech,Moderna,Oxford/AstraZeneca,Johnson&Johnson,Sputnik V
Austria,4/12/2020,31775,0,0,0,0
Austria,5/12/2020,31775,0,0,0,0
Austria,6/12/2020,31775,0,0,0,0
Austria,7/12/2020,31775,0,0,0,0
Austria,8/12/2020,31775,0,0,0,0
Austria,9/12/2020,31775,0,0,0,0
Austria,10/12/2020,31775,0,0,0,0
Austria,11/12/2020,31775,0,0,0,0
Austria,12/12/2020,31775,0,0,0,0
Austria,13/12/2020,31775,0,0,0,0
Austria,14/12/2020,31775,0,0,0,0
Austria,15/12/2020,31775,0,0,0,0
Austria,16/12/2020,31775,0,0,0,0
Austria,17/12/2020,31775,0,0,0,0
Austria,18/12/2020,31775,0,0,0,0
Austria,19/12/2020,31775,0,0,0,0
Austria,20/12/2020,31775,0,0,0,0
Austria,21/12/2020,31775,0,0,0,0
Austria,22/12/2020,31775,0,0,0,0
Austria,23/12/2020,31775,0,0,0,0
Austria,24/12/2020,31775,0,0,0,0
Austria,25/12/2020,31775,0,0,0,0
Austria,26/12/2020,31775,0,0,0,0
Austria,27/12/2020,31775,0,0,0,0
Austria,28/12/2020,31775,0,0,0,0
Austria,29/12/2020,31775,0,0,0,0
Austria,30/12/2020,31775,0,0,0,0
Austria,31/12/2020,31775,0,0,0,0
Austria,1/1/2021,31775,0,0,0,0
Austria,2/1/2021,31775,0,0,0,0
Austria,3/1/2021,31775,0,0,0,0
Austria,4/1/2021,31775,0,0,0,0
Austria,5/1/2021,31775,0,0,0,0
Austria,6/1/2021,31775,0,0,0,0
Austria,7/1/2021,31775,0,0,0,0
Austria,8/1/2021,31775,0,0,0,0
Austria,9/1/2021,44023,15,310,0,0
Austria,10/1/2021,56271,30,620,0,0
Austria,11/1/2021,68520,45,930,1,0
Austria,12/1/2021,80768,60,1240,1,0
Austria,13/1/2021,93017,75,1550,2,0
Austria,14/1/2021,105265,90,1861,2,0
Austria,15/1/2021,117514,106,2171,2,0
Austria,16/1/2021,131532,142,2481,3,0
Austria,17/1/2021,145551,178,2791,3,0
Austria,18/1/2021,159569,215,3101,4,0
Austria,19/1/2021,173588,251,3411,4,0
Austria,20/1/2021,187606,288,3722,4,0
Austria,21/1/2021,201625,324,4032,5,0
Austria,22/1/2021,215644,361,4342,5,0
Austria,23/1/2021,222123,934,4652,6,0
Austria,24/1/2021,228602,1508,4962,6,0
Austria,25/1/2021,235082,2082,5272,7,0
Austria,26/1/2021,241561,2655,5583,7,0
Austria,27/1/2021,248041,3229,5893,7,0
Austria,28/1/2021,254520,3803,6203,8,0
Austria,29/1/2021,261000,4377,6513,8,0
Austria,30/1/2021,274841,4625,6823,9,0
Austria,31/1/2021,288682,4874,7133,9,0
Austria,1/2/2021,302523,5123,7444,9,0
Austria,2/2/2021,316364,5372,7754,10,0
Austria,3/2/2021,330205,5621,8064,10,0
Austria,4/2/2021,344046,5870,8374,11,0
Austria,5/2/2021,357887,6119,8684,11,0
Austria,6/2/2021,372561,6714,8994,12,0
Austria,7/2/2021,387236,7310,9305,12,0
Austria,8/2/2021,401910,7906,9615,12,0
Austria,9/2/2021,416585,8502,9925,13,0
Austria,10/2/2021,431259,9098,10235,13,0
