Country,Date,Pfizer/BioNTech,Moderna,Oxford/AstraZeneca,Johnson&Johnson,Sputnik V
Germany,2020-12-04,24418,8,1,0,0
Germany,2020-12-05,24418,8,1,0,0
Germany,2020-12-06,24418,8,1,0,0
Germany,2020-12-07,24418,8,1,0,0
Germany,2020-12-08,24418,8,1,0,0
Germany,2020-12-09,24418,8,1,0,0
Germany,2020-12-10,24418,8,1,0,0
Germany,2020-12-11,24418,8,1,0,0
Germany,2020-12-12,24418,8,1,0,0
Germany,2020-12-13,24418,8,1,0,0
Germany,2020-12-14,24418,8,1,0,0
Germany,2020-12-15,24418,8,1,0,0
Germany,2020-12-16,24418,8,1,0,0
Germany,2020-12-17,24418,8,1,0,0
Germany,2020-12-18,24418,8,1,0,0
Germany,2020-12-19,24418,8,1,0,0
Germany,2020-12-20,24418,8,1,0,0
Germany,2020-12-21,24418,8,1,0,0
Germany,2020-12-22,24418,8,1,0,0
Germany,2020-12-23,24418,8,1,0,0
Germany,2020-12-24,24418,8,1,0,0
Germany,2020-12-25,24418,8,1,0,0
Germany,2020-12-26,24418,8,1,0,0
Germany,2020-12-27,24418,8,1,0,0
Germany,2020-12-28,42489,9,2,0,0
Germany,2020-12-29,92717,9,3,0,0
Germany,2020-12-30,156929,10,4,1,0
Germany,2020-12-31,206912,12,5,1,0
Germany,2021-01-01,232614,27,7,2,0
Germany,2021-01-02,280446,28,7,4,0
Germany,2021-01-03,303053,35,7,13,0
Germany,2021-01-04,349385,46,8,22,0
Germany,2021-01-05,401903,50,9,22,0
Germany,2021-01-06,465022,57,10,22,0
Germany,2021-01-07,519931,65,13,23,0
Germany,2021-01-08,582781,118,16,23,0
Germany,2021-01-09,643377,126,16,23,0
Germany,2021-01-10,679223,136,17,24,0
Germany,2021-01-11,748013,146,20,24,0
Germany,2021-01-12,827353,167,23,25,0
Germany,2021-01-13,938648,1350,24,25,0
Germany,2021-01-14,1017703,6472,25,26,0
Germany,2021-01-15,1104338,11758,44,27,0
Germany,2021-01-16,1160767,13452,45,28,0
Germany,2021-01-17,1207354,14717,46,29,0
Germany,2021-01-18,1286415,18980,49,29,0
Germany,2021-01-19,1402531,22749,100,29,0
Germany,2021-01-20,1532698,25593,104,29,0
Germany,2021-01-21,1635537,28419,108,30,0
Germany,2021-01-22,1735785,30616,122,30,0
Germany,2021-01-23,1822538,30977,127,30,0
Germany,2021-01-24,1870198,31181,131,31,0
Germany,2021-01-25,1959844,32636,134,31,0
Germany,2021-01-26,2057147,34079,141,32,0
Germany,2021-01-27,2165045,35873,149,33,0
Germany,2021-01-28,2256216,37508,153,33,0
Germany,2021-01-29,2362513,38995,224,34,0
Germany,2021-01-30,2449820,39879,228,36,0
Germany,2021-01-31,2506721,40264,233,37,0
Germany,2021-02-01,2625010,42488,289,38,0
Germany,2021-02-02,2754801,45628,314,40,0
Germany,2021-02-03,2911657,52030,341,41,0
Germany,2021-02-04,3040534,57932,349,41,0
Germany,2021-02-05,3181730,64409,358,42,0
Germany,2021-02-06,3273331,67048,359,43,0
Germany,2021-02-07,3324576,69390,362,44,0
Germany,2021-02-08,3430226,73232,392,45,0
Germany,2021-02-09,3561425,76704,579,45,0
Germany,2021-02-10,3704231,81023,8978,46,0
Germany,2021-02-11,3825199,88370,25496,48,0
Germany,2021-02-12,3957774,97755,39917,54,0
Germany,2021-02-13,4049018,101034,53332,55,0
Germany,2021-02-14,4104740,103519,60635,56,0
Germany,2021-02-15,4209848,108845,76184,68,0
Germany,2021-02-16,4318953,115063,95925,69,0
Germany,2021-02-17,4441885,123136,116911,73,0
Germany,2021-02-18,4554900,131430,140940,79,0
Germany,2021-02-19,4676210,141479,168601,80,0
