REF_AREA,Reference area,Health function,Price base,TIME_PERIOD,OBS_VALUE
AUS,Australia,COVID-19 related costs for vaccination,Constant prices,2020,6.347263107134493
AUS,Australia,COVID-19 related costs for medical goods,Constant prices,2020,7.335540757242932
AUS,Australia,COVID-19 related treatment costs,Constant prices,2020,8.302834936129955
AUS,Australia,COVID-19 related investment costs,Constant prices,2020,5.86436953930415
AUT,Austria,COVID-19 related costs for medical goods,Constant prices,2020,4.974966664816796
AUT,Austria,COVID-19 related treatment costs,Constant prices,2020,3.3952463761687155
AUT,Austria,COVID-19 related costs for vaccination,Constant prices,2020,0.7026023393307005
BEL,Belgium,COVID-19 related costs for medical goods,Constant prices,2020,7.726863519369852
BEL,Belgium,COVID-19 related treatment costs,Constant prices,2020,6.430035557113142
BGR,Bulgaria,COVID-19 related treatment costs,Constant prices,2020,6.488231813622932
BGR,Bulgaria,COVID-19 related costs for medical goods,Constant prices,2020,3.6343176661212535
CAN,Canada,COVID-19 related treatment costs,Constant prices,2020,8.851838617577698
CAN,Canada,COVID-19 related costs for vaccination,Constant prices,2020,8.751590145009237
CAN,Canada,COVID-19 related costs for medical goods,Constant prices,2020,8.87587943134246
CHL,Chile,COVID-19 related costs for vaccination,Constant prices,2020,3.769237496679584
CHL,Chile,COVID-19 related investment costs,Constant prices,2020,5.473001498990558
CHL,Chile,COVID-19 related costs for medical goods,Constant prices,2020,6.821349536740572
COL,Colombia,COVID-19 related costs for medical goods,Constant prices,2020,5.280087202283586
CRI,Costa Rica,COVID-19 related treatment costs,Constant prices,2020,5.705976732178059
CYP,Cyprus,COVID-19 related costs for vaccination,Constant prices,2020,1.0654001544619962
CYP,Cyprus,COVID-19 related treatment costs,Constant prices,2020,1.0828216027617856
CYP,Cyprus,COVID-19 related investment costs,Constant prices,2020,0.23269776411902143
CYP,Cyprus,COVID-19 related costs for medical goods,Constant prices,2020,2.0421290067958564
CZE,Czechia,COVID-19 related investment costs,Constant prices,2020,3.2798580298029947
CZE,Czechia,COVID-19 related costs for vaccination,Constant prices,2020,0.18148787604537725
CZE,Czechia,COVID-19 related treatment costs,Constant prices,2020,7.8272783811142475
CZE,Czechia,COVID-19 related costs for medical goods,Constant prices,2020,6.312589253448784
DEU,Germany,COVID-19 related costs for medical goods,Constant prices,2020,7.714207037415647
DEU,Germany,COVID-19 related costs for vaccination,Constant prices,2020,1.5234441992671244
DEU,Germany,COVID-19 related investment costs,Constant prices,2020,6.7854271801567325
DEU,Germany,COVID-19 related treatment costs,Constant prices,2020,7.015081162039573
DNK,Denmark,COVID-19 related treatment costs,Constant prices,2020,4.2466220601676765
DNK,Denmark,COVID-19 related costs for medical goods,Constant prices,2020,5.315636520418503
DNK,Denmark,COVID-19 related costs for vaccination,Constant prices,2020,2.740323761652506
ESP,Spain,COVID-19 related costs for medical goods,Constant prices,2020,2.6840989802796966
ESP,Spain,COVID-19 related treatment costs,Constant prices,2020,9.212834359402507
ESP,Spain,COVID-19 related costs for vaccination,Constant prices,2020,2.053995520348361
ESP,Spain,COVID-19 related investment costs,Constant prices,2020,7.197739200146273
EST,Estonia,COVID-19 related treatment costs,Constant prices,2020,2.539631549477247
EST,Estonia,COVID-19 related investment costs,Constant prices,2020,1.6444188813293459
EST,Estonia,COVID-19 related costs for vaccination,Constant prices,2020,0.18065349969325756
EST,Estonia,COVID-19 related costs for medical goods,Constant prices,2020,4.009186013140779
FIN,Finland,COVID-19 related investment costs,Constant prices,2020,3.350570531817765
FIN,Finland,COVID-19 related costs for vaccination,Constant prices,2020,0.1881379421153945
FIN,Finland,COVID-19 related treatment costs,Constant prices,2020,3.902275653973266
FIN,Finland,COVID-19 related costs for medical goods,Constant prices,2020,3.07056141417464
FRA,France,COVID-19 related treatment costs,Constant prices,2020,8.46963900311385
FRA,France,COVID-19 related costs for medical goods,Constant prices,2020,7.972153553370107
GBR,United Kingdom,COVID-19 related costs for vaccination,Constant prices,2020,4.43191143760288
HRV,Croatia,COVID-19 related treatment costs,Constant prices,2020,5.637286483367837
HRV,Croatia,COVID-19 related costs for medical goods,Constant prices,2020,2.3799164359303693
ISL,Iceland,COVID-19 related investment costs,Constant prices,2020,1.8198608993389298
ISL,Iceland,COVID-19 related treatment costs,Constant prices,2020,3.4423073347183712
ISL,Iceland,COVID-19 related costs for medical goods,Constant prices,2020,2.1716788231462467
ISR,Israel,COVID-19 related investment costs,Constant prices,2020,6.437159474435212
ISR,Israel,COVID-19 related costs for medical goods,Constant prices,2020,5.602159410461836
ISR,Israel,COVID-19 related costs for vaccination,Constant prices,2020,5.0665177090105376
ISR,Israel,COVID-19 related treatment costs,Constant prices,2020,6.6743669284632094
JPN,Japan,COVID-19 related costs for medical goods,Constant prices,2020,4.039782774229418
JPN,Japan,COVID-19 related investment costs,Constant prices,2020,5.717813576735822
JPN,Japan,COVID-19 related treatment costs,Constant prices,2020,7.08775497567726
JPN,Japan,COVID-19 related costs for vaccination,Constant prices,2020,6.139725056748907
KOR,Korea,COVID-19 related treatment costs,Constant prices,2020,5.939449940005374
KOR,Korea,COVID-19 related investment costs,Constant prices,2020,4.637618014853944
KOR,Korea,COVID-19 related costs for medical goods,Constant prices,2020,6.773806656472187
LTU,Lithuania,COVID-19 related costs for medical goods,Constant prices,2020,4.751544997675053
LTU,Lithuania,COVID-19 related treatment costs,Constant prices,2020,1.7993968963572664
LTU,Lithuania,COVID-19 related costs for vaccination,Constant prices,2020,1.0855270491194544
LUX,Luxembourg,COVID-19 related costs for medical goods,Constant prices,2020,3.2751805410786683
LUX,Luxembourg,COVID-19 related treatment costs,Constant prices,2020,4.138090278499451
LUX,Luxembourg,COVID-19 related costs for vaccination,Constant prices,2020,0.14149956227369942
LVA,Latvia,COVID-19 related treatment costs,Constant prices,2020,3.7043836406499016
LVA,Latvia,COVID-19 related costs for medical goods,Constant prices,2020,2.12835074638271
LVA,Latvia,COVID-19 related costs for vaccination,Constant prices,2020,0.1587116911548208
MLT,Malta,COVID-19 related costs for medical goods,Constant prices,2020,3.991019011654644
MLT,Malta,COVID-19 related treatment costs,Constant prices,2020,2.0635661925215456
MLT,Malta,COVID-19 related costs for vaccination,Constant prices,2020,1.6315907170752337
NLD,Netherlands,COVID-19 related investment costs,Constant prices,2020,6.638935522591416
NLD,Netherlands,COVID-19 related treatment costs,Constant prices,2020,8.353925511086272
NLD,Netherlands,COVID-19 related costs for medical goods,Constant prices,2020,5.754301302555319
AUS,Australia,COVID-19 related investment costs,Current prices,2020,5.928258471204189
AUS,Australia,COVID-19 related treatment costs,Current prices,2020,8.366884355579817
AUS,Australia,COVID-19 related costs for vaccination,Current prices,2020,6.4112187448464235
