Country,Code,Day,"COVID-19 doses (cumulative, per hundred)","Daily new confirmed cases of COVID-19 per million people (rolling 7-day average, right-aligned)",Daily ICU occupancy per million,"Daily new confirmed deaths due to COVID-19 per million people (rolling 7-day average, right-aligned)"
Australia,AUS,10/1/2020,,0.0,,0.0
Australia,AUS,11/1/2020,,0.0,,0.0
Australia,AUS,12/1/2020,,0.0,,0.0
Australia,AUS,13/1/2020,,0.0,,0.0
Australia,AUS,14/1/2020,,0.0,,0.0
Australia,AUS,15/1/2020,,0.0,,0.0
Australia,AUS,16/1/2020,,0.0,,0.0
Australia,AUS,17/1/2020,,0.0,,0.0
Australia,AUS,18/1/2020,,0.0,,0.0
Australia,AUS,19/1/2020,,0.0,,0.0
Australia,AUS,20/1/2020,,0.0,,0.0
Australia,AUS,21/1/2020,,0.0,,0.0
Australia,AUS,22/1/2020,,0.0,,0.0
Australia,AUS,23/1/2020,,0.0,,0.0
Australia,AUS,24/1/2020,,0.0,,0.0
Australia,AUS,25/1/2020,,0.0,,0.0
Australia,AUS,26/1/2020,,0.021809429,,0.0
Australia,AUS,27/1/2020,,0.021809429,,0.0
Australia,AUS,28/1/2020,,0.021809429,,0.0
Australia,AUS,29/1/2020,,0.021809429,,0.0
Australia,AUS,30/1/2020,,0.021809429,,0.0
Australia,AUS,31/1/2020,,0.021809429,,0.0
Australia,AUS,1/2/2020,,0.021809429,,0.0
Australia,AUS,2/2/2020,,0.043618858,,0.0
Australia,AUS,3/2/2020,,0.043618858,,0.0
Australia,AUS,4/2/2020,,0.043618858,,0.0
Australia,AUS,5/2/2020,,0.043618858,,0.0
Australia,AUS,6/2/2020,,0.043618858,,0.0
Australia,AUS,7/2/2020,,0.043618858,,0.0
Australia,AUS,8/2/2020,,0.043618858,,0.0
Australia,AUS,9/2/2020,,0.016357072,,0.0
Australia,AUS,10/2/2020,,0.016357072,,0.0
Australia,AUS,11/2/2020,,0.016357072,,0.0
Australia,AUS,12/2/2020,,0.016357072,,0.0
Australia,AUS,13/2/2020,,0.016357072,,0.0
