Country,Day,"COVID-19 doses (cumulative, per hundred)","Daily new confirmed cases of COVID-19 per million people (rolling 7-day average, right-aligned)",Daily ICU occupancy per million,"Daily new confirmed deaths due to COVID-19 per million people (rolling 7-day average, right-aligned)",Year
Canada,11/12/2020,0.018757762,167.3620071,14.615,2.592730371,2020
United States,11/12/2020,0.15627784,591.8239786,75.03828571,7.061297557,2020
Canada,18/12/2020,0.11790705,170.8836457,14.96785714,2.839281514,2020
Chile,18/12/2020,0.002148005,94.03103857,34.62871429,1.860977614,2020
Denmark,18/12/2020,3.39E-05,549.5951571,14.81428571,1.846204986,2020
Israel,18/12/2020,2.3444207,248.0102971,15.406,1.513269557,2020
Switzerland,18/12/2020,0.007904752,479.6841657,51.256,10.05996,2020
United States,18/12/2020,0.8376269,629.0109357,77.95971429,7.7536122,2020
Belgium,25/12/2020,0.007954087,171.1862557,42.81085714,7.537924143,2020
Canada,25/12/2020,0.24772508,164.2788057,16.05242857,2.889748329,2020
Chile,25/12/2020,0.044228435,106.8219957,37.09928571,2.113561243,2020
Czechia,25/12/2020,0.11129729,630.6364114,84.29328571,10.25454543,2020
Denmark,25/12/2020,0.000186349,507.4816286,19.55,2.897228043,2020
Estonia,25/12/2020,0.18332084,393.6542057,24.886,3.265083629,2020
France,25/12/2020,0.003960625,192.1765614,39.06342857,7.099647086,2020
Germany,25/12/2020,0.24608906,253.2186771,66.85014286,10.08682729,2020
Israel,25/12/2020,10.900849,370.06053,20.21385714,1.930259386,2020
Italy,25/12/2020,0.068211354,249.2407414,43.41314286,8.462565857,2020
Luxembourg,25/12/2020,0.19148467,365.2012857,51.39842857,3.967202143,2020
Slovenia,25/12/2020,0.54320335,623.0711714,95.15528571,18.14826529,2020
Switzerland,25/12/2020,0.07258723,412.4839029,50.34042857,9.888193286,2020
United States,25/12/2020,1.6737167,587.7721629,80.70085714,7.732040829,2020
Belgium,1/1/2021,0.1311136,136.7221714,38.20242857,6.286278043,2021
Canada,1/1/2021,0.5721736,176.7840586,17.04785714,3.187817843,2021
Chile,1/1/2021,0.054738313,122.763985,41.07071429,2.302477057,2021
Czechia,1/1/2021,0.340366,857.09685,101.119,12.03087857,2021
Denmark,1/1/2021,0.08583919,418.3071686,23.14428571,4.141860514,2021
Estonia,1/1/2021,0.58744144,393.0949,30.164,3.915077171,2021
Finland,1/1/2021,0.001203024,46.38402886,5.294,0.857470614,2021
France,1/1/2021,0.085392594,194.4746429,38.67571429,6.6081549,2021
Germany,1/1/2021,0.6184509,216.5951986,67.80128571,9.750923429,2021
Israel,1/1/2021,19.577467,527.6961657,26.987,2.728368914,2021
Italy,1/1/2021,0.7292981,243.5512257,43.58271429,7.924456,2021
Luxembourg,1/1/2021,0.22898567,254.0571429,45.22171429,2.748927571,2021
Portugal,1/1/2021,0.049908444,397.3656371,49.01528571,7.119394557,2021
Slovenia,1/1/2021,1.2815155,684.7134971,87.80971429,16.92294443,2021
Spain,1/1/2021,0.43347272,267.5803943,46.18057143,3.745960943,2021
Sweden,1/1/2021,0.023628505,553.1279286,34.70757143,9.089682714,2021
Switzerland,1/1/2021,0.34448794,380.7070529,49.11485714,9.447170143,2021
United States,1/1/2021,2.9219124,575.1492314,83.185,8.061825029,2021
Austria,8/1/2021,0.3507019,234.0188871,41.29314286,7.575940571,2021
Belgium,8/1/2021,0.8211951,153.9997929,31.46157143,5.067939271,2021
Canada,8/1/2021,1.2013777,197.8959943,17.81671429,3.462230871,2021
Chile,8/1/2021,0.095412314,150.52313,48.103,2.301433357,2021
Czechia,8/1/2021,0.9580524,1150.451809,111.574,14.99653243,2021
Denmark,8/1/2021,1.5571504,332.7421243,22.97428571,4.691573143,2021
Estonia,8/1/2021,1.2237685,435.3142414,37.706,3.748799714,2021
France,8/1/2021,0.5459386,250.5755386,39.156,7.294592657,2021
Germany,8/1/2021,1.2180651,236.2567457,63.48485714,9.776892857,2021
Israel,8/1/2021,24.951073,733.1644857,32.77742857,3.591492957,2021
Italy,8/1/2021,1.7394994,269.52154,44.06157143,8.133606571,2021
Latvia,8/1/2021,0.71842545,517.3922714,34.042,12.33565429,2021
Luxembourg,8/1/2021,0.4956254,231.0661086,34.19214286,1.561890643,2021
Netherlands,8/1/2021,0.19366723,413.9440429,36.13714286,5.177149786,2021
Portugal,8/1/2021,0.8264124,647.0087371,55.73314286,9.374326557,2021
Slovenia,8/1/2021,2.1027973,872.4867643,91.65114286,14.48194914,2021
Spain,8/1/2021,1.4137754,427.0613,55.35728571,4.462809571,2021
Switzerland,8/1/2021,0.9090578,374.6093286,44.63628571,7.632013786,2021
United Kingdom,8/1/2021,5.394862,858.72325,50.07585714,13.046928,2021
United States,8/1/2021,4.97621,663.13914,84.37642857,8.771050143,2021
Austria,15/1/2021,1.2980603,197.1275486,37.32985714,6.970315714,2021
Belgium,15/1/2021,1.8104397,163.87096,30.26042857,4.547296371,2021
Canada,15/1/2021,1.9309111,193.2430543,17.62357143,3.677765943,2021
Chile,15/1/2021,0.3322247,190.4135971,55.49228571,2.7304081,2021
Czechia,15/1/2021,1.7454721,915.3200143,109.0962857,15.91624771,2021
Denmark,15/1/2021,2.3154051,225.39257,22.56142857,4.905926571,2021
Estonia,15/1/2021,1.775879,397.0553229,33.181,4.6557674,2021
Finland,15/1/2021,1.1154366,63.789948,4.7648,0.443392936,2021
France,15/1/2021,1.4720882,266.2997857,41.22057143,7.660671857,2021
Germany,15/1/2021,1.9790328,214.9530629,59.34842857,8.979606857,2021
Israel,15/1/2021,37.380238,880.5614,37.08642857,4.916444514,2021
Italy,15/1/2021,2.3121917,269.6249171,42.23714286,8.163387714,2021
Latvia,15/1/2021,1.0117711,484.1174643,34.582,11.69554614,2021
Luxembourg,15/1/2021,1.0566096,198.51631,26.91242857,1.780555386,2021
Netherlands,15/1/2021,0.42820147,338.1276371,34.14471429,4.598111429,2021
Portugal,15/1/2021,1.325708,816.1697786,64.31528571,13.78231714,2021
Slovenia,15/1/2021,2.92493,737.8654657,87.13585714,13.092608,2021
Spain,15/1/2021,2.3067913,636.4579186,72.04642857,6.306134714,2021
Sweden,15/1/2021,1.2673861,447.14,32.35128571,8.591511714,2021
Switzerland,15/1/2021,1.9203997,287.63733,39.71671429,6.594449771,2021
United Kingdom,15/1/2021,8.580167,728.79697,57.749,17.12770343,2021
United States,15/1/2021,7.2399273,674.2733,81.65571429,9.534054429,2021
Austria,22/1/2021,2.3849604,170.1603557,35.46014286,6.486265857,2021
Belgium,22/1/2021,2.7210968,172.24857,27.82128571,4.431598,2021
Canada,22/1/2021,2.398732,163.6095886,17.31528571,3.935882386,2021
Chile,22/1/2021,0.3449286,210.07442,65.41028571,3.0174349,2021
Czechia,22/1/2021,2.468506,694.8750114,101.5002857,14.62749821,2021
Denmark,22/1/2021,2.8219528,153.8780643,20.54571429,5.255114957,2021
Estonia,22/1/2021,2.5150878,381.5461871,33.935,5.003438286,2021
Finland,22/1/2021,2.1605413,67.25281071,3.8986,0.403084491,2021
France,22/1/2021,2.389698,282.0773757,44.32985714,7.613046643,2021
Germany,22/1/2021,2.7280447,173.6854143,55.14171429,7.457602429,2021
Israel,22/1/2021,51.127357,820.2525714,42.12071429,5.631604543,2021
Italy,22/1/2021,3.0128126,223.8681071,40.19,8.086025786,2021
Latvia,22/1/2021,1.2010262,422.0594729,55.116,11.22902607,2021
Luxembourg,22/1/2021,1.7409645,186.7708857,21.83857143,2.592738514,2021
Netherlands,22/1/2021,0.9082337,290.7764286,33.04657143,4.280096429,2021
Portugal,22/1/2021,2.8282795,1043.385057,73.35585714,20.97811629,2021
Slovenia,22/1/2021,3.6977067,607.9620571,84.77728571,12.70668043,2021
Spain,22/1/2021,3.082247,721.7561,92.22885714,9.252894686,2021
Sweden,22/1/2021,2.3812919,343.7169,26.54185714,7.536789286,2021
Switzerland,22/1/2021,3.2872508,230.8127214,34.50271429,5.556886071,2021
United Kingdom,22/1/2021,12.275626,558.6924286,59.39314286,19.81659071,2021
United States,22/1/2021,10.146939,568.2174857,73.70271429,9.506865857,2021
Austria,29/1/2021,2.9312015,154.4816443,33.30271429,6.162065029,2021
Belgium,29/1/2021,3.8029127,191.5141071,26.927,4.286098714,2021
Canada,29/1/2021,2.6703925,131.6005171,16.19728571,3.683548557,2021
Chile,29/1/2021,2.1849349,208.3011114,74.075,3.405703914,2021
Czechia,29/1/2021,3.194679,646.1816857,101.1188571,13.61026557,2021
Denmark,29/1/2021,3.7000132,111.7610857,16.19857143,3.903305786,2021
Estonia,29/1/2021,3.6813788,382.1659443,30.919,4.595302714,2021
Finland,29/1/2021,3.175193,64.05745143,3.6096,0.4104133,2021
France,29/1/2021,3.2777305,293.1864286,47.117,7.182832571,2021
Germany,29/1/2021,3.685331,141.2461671,51.50542857,5.757937543,2021
Israel,29/1/2021,59.619568,737.1886643,42.43842857,5.9118396,2021
Italy,29/1/2021,4.0782294,207.4030357,37.42171429,7.636573929,2021
Latvia,29/1/2021,1.6169093,399.7858657,59.438,11.68469657,2021
Luxembourg,29/1/2021,2.5142503,217.1340371,18.30942857,2.998830143,2021
Netherlands,29/1/2021,1.694816,245.70148,30.62285714,3.604171743,2021
Portugal,29/1/2021,3.68591,1092.568386,82.953,26.381334,2021
Slovenia,29/1/2021,4.5592203,584.8353286,78.24014286,10.79633643,2021
Spain,29/1/2021,4.156862,639.8595429,101.4657143,11.05525757,2021
Sweden,29/1/2021,3.254612,291.5859814,23.17,5.937191714,2021
Switzerland,29/1/2021,4.5098715,196.8725457,31.39757143,4.549497343,2021
United Kingdom,29/1/2021,16.83361,404.59306,54.77814286,18.65009914,2021
United States,29/1/2021,13.383344,470.5567929,65.28814286,9.335729857,2021
Austria,5/2/2021,4.0201974,146.18076,31.56071429,5.356066,2021
Belgium,5/2/2021,5.0265884,191.6455857,25.77471429,3.725136814,2021
Canada,5/2/2021,3.1113777,105.9733857,14.64471429,3.109489086,2021
Chile,5/2/2021,8.5083475,190.3937643,77.16442857,3.9140023,2021
Czechia,5/2/2021,4.099402,669.67745,104.5768571,12.53184586,2021
Denmark,5/2/2021,4.5599127,82.32206829,12.77428571,2.831538914,2021
