STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,REF_AREA,Reference area,FREQ,Frequency of observation,MEASURE,Measure,UNIT_MEASURE,Unit of measure,FINANCING_SCHEME,Financing scheme,FINANCING_SCHEME_REV,Revenues of financing schemes,FUNCTION,Health function,MODE_PROVISION,Mode of provision,PROVIDER,Health care provider,FACTOR_PROVISION,Factor of provision,ASSET_TYPE,Asset type,PRICE_BASE,Price base,TIME_PERIOD,Time period,OBS_VALUE,Observation value,BASE_PER,Base period,CURRENCY,Currency,OBS_STATUS,Observation status,OBS_STATUS2,Observation status 2,OBS_STATUS3,Observation status 3,UNIT_MULT,Unit multiplier,DECIMALS,Decimals
DATAFLOW,OECD.ELS.HD:DSD_SHA@DF_SHA(1.0),Health expenditure and financing,I,BGR,Bulgaria,A,Annual,EXP_HEALTH,Expenditure,USD_PPP,"US dollars, PPP converted",_T,Total,_Z,Not application,HCCOV1,COVID-19 related treatment costs,_T,Total,_T,Total,_Z,Not applicable,_Z,Not applicable,Q,Constant prices,2022,,539.844,,2015,,,,,,,,,,6,Millions,1,One
DATAFLOW,OECD.ELS.HD:DSD_SHA@DF_SHA(1.0),Health expenditure and financing,I,BGR,Bulgaria,A,Annual,EXP_HEALTH,Expenditure,USD_PPP,"US dollars, PPP converted",_T,Total,_Z,Not application,HCCOV4,COVID-19 related costs for medical goods,_T,Total,_T,Total,_Z,Not applicable,_Z,Not applicable,V,Current prices,2022,,32.055,,,,,,D,Definition differs,,,,,6,Millions,1,One
DATAFLOW,OECD.ELS.HD:DSD_SHA@DF_SHA(1.0),Health expenditure and financing,I,CZE,Czechia,A,Annual,EXP_HEALTH,Expenditure,USD_PPP,"US dollars, PPP converted",_T,Total,_Z,Not application,HKCOV1,COVID-19 related investment costs,_T,Total,_T,Total,_Z,Not applicable,_Z,Not applicable,Q,Constant prices,2021,,5.511,,2015,,,,,,,,,,6,Millions,1,One
DATAFLOW,OECD.ELS.HD:DSD_SHA@DF_SHA(1.0),Health expenditure and financing,I,CAN,Canada,A,Annual,EXP_HEALTH,Expenditure,USD_PPP,"US dollars, PPP converted",_T,Total,_Z,Not application,HCCOV3,COVID-19 related costs for vaccination,_T,Total,_T,Total,_Z,Not applicable,_Z,Not applicable,V,Current prices,2020,,7149.63,,,,,,,,,,,,6,Millions,1,One
DATAFLOW,OECD.ELS.HD:DSD_SHA@DF_SHA(1.0),Health expenditure and financing,I,POL,Poland,A,Annual,EXP_HEALTH,Expenditure,USD_PPP,"US dollars, PPP converted",_T,Total,_Z,Not application,HCCOV3,COVID-19 related costs for vaccination,_T,Total,_T,Total,_Z,Not applicable,_Z,Not applicable,Q,Constant prices,2022,,1717.584,,2015,,,,,,,,,,6,Millions,1,One
DATAFLOW,OECD.ELS.HD:DSD_SHA@DF_SHA(1.0),Health expenditure and financing,I,NLD,Netherlands,A,Annual,EXP_HEALTH,Expenditure,USD_PPP,"US dollars, PPP converted",_T,Total,_Z,Not application,HKCOV1,COVID-19 related investment costs,_T,Total,_T,Total,_Z,Not applicable,_Z,Not applicable,V,Current prices,2020,,903.853,,,,,,,,,,,,6,Millions,1,One
DATAFLOW,OECD.ELS.HD:DSD_SHA@DF_SHA(1.0),Health expenditure and financing,I,ISL,Iceland,A,Annual,EXP_HEALTH,Expenditure,USD_PPP,"US dollars, PPP converted",_T,Total,_Z,Not application,HKCOV1,COVID-19 related investment costs,_T,Total,_T,Total,_Z,Not applicable,_Z,Not applicable,Q,Constant prices,2022,,0.542,,2015,,,,,,,,,,6,Millions,1,One
DATAFLOW,OECD.ELS.HD:DSD_SHA@DF_SHA(1.0),Health expenditure and financing,I,ISL,Iceland,A,Annual,EXP_HEALTH,Expenditure,USD_PPP,"US dollars, PPP converted",_T,Total,_Z,Not application,HKCOV1,COVID-19 related investment costs,_T,Total,_T,Total,_Z,Not applicable,_Z,Not applicable,Q,Constant prices,2021,,2.359,,2015,,,,,,,,,,6,Millions,1,One
DATAFLOW,OECD.ELS.HD:DSD_SHA@DF_SHA(1.0),Health expenditure and financing,I,ISL,Iceland,A,Annual,EXP_HEALTH,Expenditure,USD_PPP,"US dollars, PPP converted",_T,Total,_Z,Not application,HKCOV1,COVID-19 related investment costs,_T,Total,_T,Total,_Z,Not applicable,_Z,Not applicable,Q,Constant prices,2020,,5.171,,2015,,,,,,,,,,6,Millions,1,One
DATAFLOW,OECD.ELS.HD:DSD_SHA@DF_SHA(1.0),Health expenditure and financing,I,DEU,Germany,A,Annual,EXP_HEALTH,Expenditure,USD_PPP,"US dollars, PPP converted",_T,Total,_Z,Not application,HCCOV4,COVID-19 related costs for medical goods,_T,Total,_T,Total,_Z,Not applicable,_Z,Not applicable,Q,Constant prices,2020,,2238.946,,2015,,,,,,,,,,6,Millions,1,One
