country,date,Pfizer/BioNTech,Moderna,Oxford/AstraZeneca,Johnson&Johnson,Sputnik V
Denmark,4/12/2020,2,1,3,2,0
Denmark,5/12/2020,2,1,3,2,0
Denmark,6/12/2020,2,1,3,2,0
Denmark,7/12/2020,2,1,3,2,0
Denmark,8/12/2020,2,1,3,2,0
Denmark,9/12/2020,2,1,3,2,0
Denmark,10/12/2020,2,1,3,2,0
Denmark,11/12/2020,2,1,3,2,0
Denmark,12/12/2020,2,1,3,2,0
Denmark,13/12/2020,2,1,3,2,0
Denmark,14/12/2020,2,1,3,2,0
Denmark,15/12/2020,2,1,3,2,0
Denmark,16/12/2020,2,1,3,2,0
Denmark,17/12/2020,2,1,3,2,0
Denmark,18/12/2020,2,1,3,2,0
Denmark,19/12/2020,3,1,3,2,0
Denmark,20/12/2020,4,1,3,2,0
Denmark,21/12/2020,5,1,3,2,0
Denmark,22/12/2020,6,1,3,2,0
Denmark,23/12/2020,7,1,3,2,0
Denmark,24/12/2020,8,1,3,2,0
Denmark,25/12/2020,10,1,3,2,0
Denmark,26/12/2020,732,2,3,2,0
Denmark,27/12/2020,1454,3,3,2,0
Denmark,28/12/2020,2176,5,3,2,0
Denmark,29/12/2020,2899,6,3,2,0
Denmark,30/12/2020,3621,7,3,2,0
Denmark,31/12/2020,4343,9,3,2,0
Denmark,1/1/2021,5066,10,3,2,0
Denmark,2/1/2021,17469,11,3,2,0
Denmark,3/1/2021,29873,13,3,2,0
Denmark,4/1/2021,42277,14,3,2,0
Denmark,5/1/2021,54681,15,3,2,0
Denmark,6/1/2021,67085,17,3,2,0
Denmark,7/1/2021,79489,18,3,2,0
Denmark,8/1/2021,91893,20,3,2,0
Denmark,9/1/2021,98151,155,3,2,0
Denmark,10/1/2021,104409,290,3,2,0
Denmark,11/1/2021,110667,425,3,2,0
Denmark,12/1/2021,116926,561,3,2,0
Denmark,13/1/2021,123184,696,3,2,0
Denmark,14/1/2021,129442,831,3,2,0
Denmark,15/1/2021,135701,967,3,3,0
Denmark,16/1/2021,139772,1165,4,3,0
Denmark,17/1/2021,143843,1364,5,3,0
Denmark,18/1/2021,147915,1562,6,3,0
Denmark,19/1/2021,151986,1761,7,3,0
Denmark,20/1/2021,156058,1959,8,3,0
Denmark,21/1/2021,160129,2158,9,3,0
Denmark,22/1/2021,164201,2357,10,4,0
Denmark,23/1/2021,171594,2366,11,4,0
Denmark,24/1/2021,178988,2375,13,4,0
Denmark,25/1/2021,186382,2384,14,4,0
Denmark,26/1/2021,193775,2393,16,4,0
Denmark,27/1/2021,201169,2402,17,4,0
Denmark,28/1/2021,208563,2411,19,4,0
Denmark,29/1/2021,215957,2420,21,4,0
Denmark,30/1/2021,222855,2770,24,4,0
Denmark,31/1/2021,229753,3120,27,4,0
Denmark,1/2/2021,236651,3470,30,4,0
Denmark,2/2/2021,243550,3820,33,4,0
Denmark,3/2/2021,250448,4170,36,4,0
Denmark,4/2/2021,257346,4520,39,4,0
Denmark,5/2/2021,264245,4870,42,4,0
Denmark,6/2/2021,269626,5557,2360,4,0
Denmark,7/2/2021,275008,6245,4678,4,0
Denmark,8/2/2021,280390,6933,6996,4,0
Denmark,9/2/2021,285771,7621,9314,4,0
Denmark,10/2/2021,291153,8309,11632,4,0
Denmark,11/2/2021,296535,8997,13950,4,0
Denmark,12/2/2021,301917,9685,16268,4,0
Denmark,13/2/2021,309577,9907,19709,4,0
Denmark,14/2/2021,317238,10130,23151,4,0
Denmark,15/2/2021,324898,10352,26593,4,0
Denmark,16/2/2021,332559,10575,30034,4,0
Denmark,17/2/2021,340219,10797,33476,4,0
Denmark,18/2/2021,347880,11020,36918,4,0
Denmark,19/2/2021,355541,11243,40360,5,0
Denmark,20/2/2021,364477,11455,46732,5,0
Denmark,21/2/2021,373413,11667,53105,5,0
Denmark,22/2/2021,382349,11879,59477,6,0
Denmark,23/2/2021,391285,12091,65850,6,0
Denmark,24/2/2021,400221,12303,72222,7,0
Denmark,25/2/2021,409157,12515,78595,7,0
Denmark,26/2/2021,418094,12727,84968,8,0
Denmark,27/2/2021,427062,13842,91768,8,0
Denmark,28/2/2021,436031,14958,98569,8,0
Denmark,1/3/2021,445000,16074,105369,9,0
Denmark,2/3/2021,453969,17189,112170,9,0
Denmark,3/3/2021,462938,18305,118970,10,0
Denmark,4/3/2021,471907,19421,125771,10,0
Denmark,5/3/2021,480876,20537,132572,11,0
Denmark,6/3/2021,489552,21719,135162,12,0
Denmark,7/3/2021,498228,22902,137752,13,0
Denmark,8/3/2021,506905,24085,140342,14,0
Denmark,9/3/2021,515581,25268,142933,16,0
Denmark,10/3/2021,524258,26451,145523,17,0
Denmark,11/3/2021,532934,27634,148113,18,0
Denmark,12/3/2021,541611,28817,150704,20,0
Denmark,13/3/2021,553627,30391,150724,28,0
Denmark,14/3/2021,565643,31966,150744,36,0
Denmark,15/3/2021,577659,33540,150764,44,0
Denmark,16/3/2021,589676,35115,150784,52,0
Denmark,17/3/2021,601692,36689,150804,60,0
Denmark,18/3/2021,613708,38264,150824,68,0
Denmark,19/3/2021,625725,39839,150845,77,0
Denmark,20/3/2021,638288,40938,150868,83,0
Denmark,21/3/2021,650851,42037,150891,89,0
Denmark,22/3/2021,663414,43137,150914,95,0
Denmark,23/3/2021,675977,44236,150937,102,0
Denmark,24/3/2021,688540,45336,150960,108,0
Denmark,25/3/2021,701103,46435,150983,114,0
Denmark,26/3/2021,713666,47535,151007,121,0
Denmark,27/3/2021,727490,50189,151022,129,0
Denmark,28/3/2021,741314,52844,151038,137,0
Denmark,29/3/2021,755138,55499,151054,145,0
Denmark,30/3/2021,768962,58153,151070,153,0
Denmark,31/3/2021,782786,60808,151086,161,0
Denmark,1/4/2021,796610,63463,151102,169,0
Denmark,2/4/2021,810434,66118,151118,177,0
Denmark,3/4/2021,827966,68541,151137,197,0
Denmark,4/4/2021,845498,70964,151156,217,0
Denmark,5/4/2021,863030,73387,151175,237,0
Denmark,6/4/2021,880562,75811,151195,257,0
Denmark,7/4/2021,898094,78234,151214,277,0
Denmark,8/4/2021,915626,80657,151233,297,0
Denmark,9/4/2021,933159,83081,151253,317,0
Denmark,10/4/2021,963714,85815,151272,319,0
Denmark,11/4/2021,994269,88550,151292,321,0
Denmark,12/4/2021,1024824,91284,151312,323,0
Denmark,13/4/2021,1055379,94019,151331,325,0
Denmark,14/4/2021,1085934,96753,151351,327,0
Denmark,15/4/2021,1116489,99488,151371,329,0
Denmark,16/4/2021,1147045,102223,151391,332,0
Denmark,17/4/2021,1176064,103834,151410,332,0
Denmark,18/4/2021,1205083,105446,151430,332,0
Denmark,19/4/2021,1234102,107058,151449,332,0
Denmark,20/4/2021,1263121,108670,151469,333,0
Denmark,21/4/2021,1292140,110282,151488,333,0
Denmark,22/4/2021,1321159,111894,151508,333,0
Denmark,23/4/2021,1350179,113506,151528,334,0
Denmark,24/4/2021,1379392,116973,151549,340,0
Denmark,25/4/2021,1408606,120441,151570,347,0
Denmark,26/4/2021,1437820,123909,151591,353,0
Denmark,27/4/2021,1467033,127377,151612,360,0
Denmark,28/4/2021,1496247,130845,151633,366,0
Denmark,29/4/2021,1525461,134313,151654,373,0
Denmark,30/4/2021,1554675,137781,151676,380,0
Denmark,1/5/2021,1596470,142674,151703,387,0
Denmark,2/5/2021,1638266,147567,151731,395,0
Denmark,3/5/2021,1680062,152461,151758,403,0
Denmark,4/5/2021,1721857,157354,151786,411,0
