Year,Month,Country,Deaths,Expenditure,Total ICU Beds
2020,1,Australia,0,10.66,2077
2020,1,Canada,0,13.024,4678
2020,1,Costa Rica,0,7.825,318
2020,1,Czech Republic,0,9.214,4684
2020,1,France,0,12.072,19073
2020,1,Germany,0,12.69,24697
2020,1,Greece,0,9.524,2138
2020,1,Israel,0,7.73,940
2020,1,Japan,0,11.209,17578
2020,1,South Korea,0,8.355,8570
2020,1,Latvia,0,7.285,242
2020,1,New Zealand,0,9.732,173
2020,1,Switzerland,0,12.004,901
2020,1,Türkiye,0,4.616,32663
2020,1,United States of America,6,18.582,70405
2020,2,Australia,0,10.66,2077
2020,2,Belgium,0,11.27,2001
2020,2,Canada,0,13.024,4678
2020,2,Costa Rica,0,7.825,318
2020,2,Czech Republic,0,9.214,4684
2020,2,France,1,12.072,19073
2020,2,Germany,1,12.69,24697
2020,2,Greece,0,9.524,2138
2020,2,Israel,0,7.73,940
2020,2,Italy,8,9.625,6874
2020,2,Japan,1,11.209,17578
2020,2,South Korea,3,8.355,8570
2020,2,Latvia,0,7.285,242
2020,2,New Zealand,0,9.732,173
2020,2,Portugal,0,10.548,1199
2020,2,Spain,1,10.732,5901
2020,2,Sweden,0,11.333,
2020,2,Switzerland,0,12.004,901
2020,2,Türkiye,0,4.616,32663
2020,2,United States of America,16,18.582,70405
2020,3,Australia,9,10.66,2077
2020,3,Austria,32,11.316,1998
2020,3,Belgium,195,11.27,2001
2020,3,Canada,11,13.024,4678
2020,3,Costa Rica,2,7.825,318
2020,3,Czech Republic,1,9.214,4684
2020,3,Estonia,0,7.589,514
2020,3,France,713,12.072,19073
2020,3,Germany,575,12.69,24697
2020,3,Greece,17,9.524,2138
2020,3,Hungary,7,7.285,1313
2020,3,Ireland,15,7.063,295
2020,3,Israel,1,7.73,940
2020,3,Italy,7958,9.625,6874
2020,3,Japan,39,11.209,17578
2020,3,South Korea,101,8.355,8570
2020,3,Latvia,0,7.285,242
2020,3,Lithuania,3,7.474,621
2020,3,Luxembourg,15,5.765,132
2020,3,Netherlands,335,11.224,1215
2020,3,New Zealand,0,9.732,173
2020,3,Poland,7,6.497,1199
2020,3,Portugal,26,10.548,1199
2020,3,Spain,2913,10.732,5901
2020,3,Sweden,49,11.333,
2020,3,Switzerland,109,12.004,901
2020,3,Türkiye,21,4.616,32663
2020,3,United States of America,695,18.582,70405
2020,4,Australia,64,10.66,2077
2020,4,Austria,497,11.316,1998
2020,4,Belgium,6009,11.27,2001
2020,4,Canada,1295,13.024,4678
2020,4,Costa Rica,2,7.825,318
2020,4,Czech Republic,188,9.214,4684
2020,4,Estonia,112,7.589,514
2020,4,France,11378,12.072,19073
2020,4,Germany,6836,12.69,24697
2020,4,Greece,96,9.524,2138
2020,4,Hungary,197,7.285,1313
2020,4,Ireland,918,7.063,295
2020,4,Israel,165,7.73,940
2020,4,Italy,18443,9.625,6874
2020,4,Japan,121,11.209,17578
2020,4,South Korea,130,8.355,8570
2020,4,Latvia,8,7.285,242
2020,4,Lithuania,46,7.474,621
2020,4,Luxembourg,64,5.765,132
2020,4,Netherlands,3908,11.224,1215
2020,4,New Zealand,11,9.732,173
2020,4,Poland,351,6.497,
2020,4,Portugal,793,10.548,1199
2020,4,Spain,19846,10.732,5901
2020,4,Sweden,1962,11.333,
2020,4,Switzerland,1219,12.004,901
2020,4,Türkiye,1869,4.616,32663
2020,4,United States of America,46935,18.582,70405
2020,5,Australia,30,10.66,2077
2020,5,Austria,176,11.316,1998
2020,5,Belgium,2727,11.27,2001
2020,5,Canada,4240,13.024,4678
2020,5,Costa Rica,4,7.825,318
2020,5,Czech Republic,108,9.214,4684
2020,5,Estonia,19,7.589,514
2020,5,France,5386,12.072,19073
2020,5,Germany,1538,12.69,24697
2020,5,Greece,53,9.524,2138
2020,5,Hungary,260,7.285,1313
2020,5,Ireland,635,7.063,295
2020,5,Israel,107,7.73,940
2020,5,Italy,7104,9.625,6874
2020,5,Japan,583,11.209,17578
2020,5,South Korea,28,8.355,8570
2020,5,Latvia,12,7.285,242
2020,5,Lithuania,21,7.474,621
2020,5,Luxembourg,4,5.765,132
2020,5,Netherlands,1600,11.224,1215
2020,5,New Zealand,10,9.732,173
2020,5,Poland,566,6.497,
2020,5,Portugal,476,10.548,1199
2020,5,Spain,5618,10.732,5901
2020,5,Sweden,1978,11.333,
2020,5,Switzerland,373,12.004,901
2020,5,Türkiye,2206,4.616,32663
2020,5,United States of America,49262,18.582,70405
2020,6,Australia,4,10.66,2077
2020,6,Austria,62,11.316,1998
2020,6,Belgium,558,11.27,2001
2020,6,Canada,2475,13.024,4678
2020,6,Costa Rica,4,7.825,318
2020,6,Czech Republic,34,9.214,4684
2020,6,Estonia,6,7.589,514
2020,6,France,1638,12.072,19073
2020,6,Germany,255,12.69,24697
2020,6,Greece,18,9.524,2138
2020,6,Hungary,99,7.285,1313
2020,6,Ireland,122,7.063,295
2020,6,Israel,32,7.73,940
2020,6,Italy,1850,9.625,6874
2020,6,Japan,181,11.209,17578
2020,6,South Korea,15,8.355,8570
2020,6,Latvia,8,7.285,242
2020,6,Lithuania,8,7.474,621
2020,6,Luxembourg,0,5.765,132
2020,6,Netherlands,302,11.224,1215
2020,6,New Zealand,1,9.732,173
2020,6,Poland,322,6.497,
2020,6,Portugal,218,10.548,1199
2020,6,Spain,1190,10.732,5901
2020,6,Sweden,1112,11.333,
2020,6,Switzerland,28,12.004,901
2020,6,Türkiye,696,4.616,32663
2020,6,United States of America,22718,18.582,70405
2020,7,Australia,6,10.66,2077
2020,7,Austria,50,11.316,1998
2020,7,Belgium,115,11.27,2001
2020,7,Canada,702,13.024,4678
2020,7,Costa Rica,14,7.825,318
2020,7,Czech Republic,24,9.214,4684
2020,7,Estonia,0,7.589,514
2020,7,France,525,12.072,19073
2020,7,Germany,113,12.69,24697
2020,7,Greece,10,9.524,2138
2020,7,Hungary,32,7.285,1313
2020,7,Ireland,34,7.063,295
2020,7,Israel,70,7.73,940
2020,7,Italy,685,9.625,6874
2020,7,Japan,57,11.209,17578
2020,7,South Korea,12,8.355,8570
2020,7,Latvia,3,7.285,242
2020,7,Lithuania,1,7.474,621
2020,7,Luxembourg,4,5.765,132
2020,7,Netherlands,55,11.224,1215
2020,7,New Zealand,0,9.732,173
2020,7,Poland,325,6.497,
2020,7,Portugal,153,10.548,1199
2020,7,Spain,247,10.732,5901
2020,7,Sweden,520,11.333,
2020,7,Switzerland,8,12.004,901
2020,7,Türkiye,552,4.616,32663
2020,7,United States of America,18041,18.582,70405
2020,8,Australia,262,10.66,2077
2020,8,Austria,47,11.316,1998
2020,8,Belgium,86,11.27,2001
2020,8,Canada,209,13.024,4678
2020,8,Costa Rica,192,7.825,318
2020,8,Czech Republic,38,9.214,4684
2020,8,Estonia,0,7.589,514
2020,8,France,365,12.072,19073
2020,8,Germany,135,12.69,24697
2020,8,Greece,20,9.524,2138
2020,8,Hungary,10,7.285,1313
2020,8,Ireland,13,7.063,295
2020,8,Israel,286,7.73,940
2020,8,Italy,266,9.625,6874
2020,8,Japan,58,11.209,17578
