Year,Month,Country,Deaths,Expenditure
2020,1,Australia,0,10.66
2020,1,Canada,0,13.024
2020,1,Chile,0,9.697
2020,1,Colombia,0,8.708
2020,1,Costa Rica,0,7.825
2020,1,Czechia,0,9.214
2020,1,Denmark,0,10.719
2020,1,France,0,12.072
2020,1,Germany,0,12.69
2020,1,Greece,0,9.524
2020,1,Israel,0,7.73
2020,1,Japan,0,11.209
2020,1,Korea,0,8.355
2020,1,Latvia,0,7.285
2020,1,Mexico,0,6.054
2020,1,New Zealand,0,9.732
2020,1,Switzerland,0,12.004
2020,1,Türkiye,0,4.616
2020,1,United Kingdom,0,11.965
2020,1,United States,6,18.582
2020,2,Australia,0,10.66
2020,2,Belgium,0,11.27
2020,2,Canada,0,13.024
2020,2,Chile,0,9.697
2020,2,Colombia,0,8.708
2020,2,Costa Rica,0,7.825
2020,2,Czechia,0,9.214
2020,2,Denmark,0,10.719
2020,2,Finland,0,9.632
2020,2,France,1,12.071999999999997
2020,2,Germany,1,12.69
2020,2,Greece,0,9.524
2020,2,Iceland,0,9.649
2020,2,Israel,0,7.73
2020,2,Italy,8,9.625
2020,2,Japan,1,11.209
2020,2,Korea,3,8.355
2020,2,Latvia,0,7.285
2020,2,Mexico,0,6.054
2020,2,New Zealand,0,9.732
2020,2,Norway,0,11.424
2020,2,Portugal,0,10.548
2020,2,Spain,1,10.732
2020,2,Sweden,0,11.333
2020,2,Switzerland,0,12.004
2020,2,Türkiye,0,4.616
2020,2,United Kingdom,0,11.965
2020,2,United States,16,18.582
2020,3,Australia,9,10.66
2020,3,Austria,32,11.316
2020,3,Belgium,195,11.27
2020,3,Canada,11,13.024
2020,3,Chile,0,9.697
2020,3,Colombia,0,8.708
2020,3,Costa Rica,2,7.825
2020,3,Czechia,1,9.214
2020,3,Denmark,99,10.719
2020,3,Estonia,0,7.589
2020,3,Finland,1,9.632
2020,3,France,713,12.072
2020,3,Germany,575,12.69
2020,3,Greece,17,9.524
2020,3,Hungary,7,7.285
2020,3,Iceland,1,9.649
2020,3,Ireland,15,7.063
2020,3,Israel,1,7.73
2020,3,Italy,7958,9.625
2020,3,Japan,39,11.209
2020,3,Korea,101,8.355
2020,3,Latvia,0,7.285
2020,3,Lithuania,3,7.474
2020,3,Luxembourg,15,5.765
2020,3,Mexico,4,6.054
2020,3,Netherlands,335,11.224
2020,3,New Zealand,0,9.732
2020,3,Norway,61,11.424
2020,3,Poland,7,6.497
2020,3,Portugal,26,10.548
2020,3,Slovak Republic,0,7.126
2020,3,Slovenia,2,9.428
2020,3,Spain,2913,10.732
2020,3,Sweden,49,11.333
2020,3,Switzerland,109,12.004
2020,3,Türkiye,21,4.616
2020,3,United Kingdom,355,11.965
2020,3,United States,695,18.582
2020,4,Australia,64,10.66
2020,4,Austria,497,11.316
2020,4,Belgium,6009,11.27
2020,4,Canada,1295,13.024
2020,4,Chile,126,9.697
2020,4,Colombia,153,8.708
2020,4,Costa Rica,2,7.825
