STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,COUNTRY,Country,WEEK,Week number,GENDER,Gender,AGE,Age,VARIABLE,Variable,TIME_PERIOD,Year,OBS_VALUE,Observation Value,OBS_STATUS,Observation Status,UNIT_MEASURE,Unit of Measures,UNIT_MULT,Multiplier,BASE_PER,Base reference period,Month
DATAFLOW,OECD:DF_HEALTH_MORTALITY(1.0),"Mortality, by week",I,AUS,Australia,1,1,TOTAL,Total,TOTAL,Total,COVIDNB,COVID-19 deaths (number),2020,,0,,A,,,,,,,,1
DATAFLOW,OECD:DF_HEALTH_MORTALITY(1.0),"Mortality, by week",I,AUS,Australia,2,2,TOTAL,Total,TOTAL,Total,COVIDNB,COVID-19 deaths (number),2020,,0,,A,,,,,,,,1
DATAFLOW,OECD:DF_HEALTH_MORTALITY(1.0),"Mortality, by week",I,AUS,Australia,3,3,TOTAL,Total,TOTAL,Total,COVIDNB,COVID-19 deaths (number),2020,,0,,A,,,,,,,,1
DATAFLOW,OECD:DF_HEALTH_MORTALITY(1.0),"Mortality, by week",I,AUS,Australia,4,4,TOTAL,Total,TOTAL,Total,COVIDNB,COVID-19 deaths (number),2020,,0,,A,,,,,,,,1
DATAFLOW,OECD:DF_HEALTH_MORTALITY(1.0),"Mortality, by week",I,AUS,Australia,5,5,TOTAL,Total,TOTAL,Total,COVIDNB,COVID-19 deaths (number),2020,,0,,A,,,,,,,,2
DATAFLOW,OECD:DF_HEALTH_MORTALITY(1.0),"Mortality, by week",I,AUS,Australia,6,6,TOTAL,Total,TOTAL,Total,COVIDNB,COVID-19 deaths (number),2020,,0,,A,,,,,,,,2
DATAFLOW,OECD:DF_HEALTH_MORTALITY(1.0),"Mortality, by week",I,AUS,Australia,7,7,TOTAL,Total,TOTAL,Total,COVIDNB,COVID-19 deaths (number),2020,,0,,A,,,,,,,,2
DATAFLOW,OECD:DF_HEALTH_MORTALITY(1.0),"Mortality, by week",I,AUS,Australia,8,8,TOTAL,Total,TOTAL,Total,COVIDNB,COVID-19 deaths (number),2020,,0,,A,,,,,,,,2
DATAFLOW,OECD:DF_HEALTH_MORTALITY(1.0),"Mortality, by week",I,AUS,Australia,9,9,TOTAL,Total,TOTAL,Total,COVIDNB,COVID-19 deaths (number),2020,,0,,A,,,,,,,,3
DATAFLOW,OECD:DF_HEALTH_MORTALITY(1.0),"Mortality, by week",I,AUS,Australia,10,10,TOTAL,Total,TOTAL,Total,COVIDNB,COVID-19 deaths (number),2020,,4,,A,,,,,,,,3
DATAFLOW,OECD:DF_HEALTH_MORTALITY(1.0),"Mortality, by week",I,AUS,Australia,11,11,TOTAL,Total,TOTAL,Total,COVIDNB,COVID-19 deaths (number),2020,,3,,A,,,,,,,,3
DATAFLOW,OECD:DF_HEALTH_MORTALITY(1.0),"Mortality, by week",I,AUS,Australia,12,12,TOTAL,Total,TOTAL,Total,COVIDNB,COVID-19 deaths (number),2020,,2,,A,,,,,,,,3
DATAFLOW,OECD:DF_HEALTH_MORTALITY(1.0),"Mortality, by week",I,AUS,Australia,13,13,TOTAL,Total,TOTAL,Total,COVIDNB,COVID-19 deaths (number),2020,,7,,A,,,,,,,,4
DATAFLOW,OECD:DF_HEALTH_MORTALITY(1.0),"Mortality, by week",I,AUS,Australia,14,14,TOTAL,Total,TOTAL,Total,COVIDNB,COVID-19 deaths (number),2020,,20,,A,,,,,,,,4
DATAFLOW,OECD:DF_HEALTH_MORTALITY(1.0),"Mortality, by week",I,AUS,Australia,15,15,TOTAL,Total,TOTAL,Total,COVIDNB,COVID-19 deaths (number),2020,,25,,A,,,,,,,,4
DATAFLOW,OECD:DF_HEALTH_MORTALITY(1.0),"Mortality, by week",I,AUS,Australia,16,16,TOTAL,Total,TOTAL,Total,COVIDNB,COVID-19 deaths (number),2020,,12,,A,,,,,,,,4
DATAFLOW,OECD:DF_HEALTH_MORTALITY(1.0),"Mortality, by week",I,AUS,Australia,17,17,TOTAL,Total,TOTAL,Total,COVIDNB,COVID-19 deaths (number),2020,,12,,A,,,,,,,,5
DATAFLOW,OECD:DF_HEALTH_MORTALITY(1.0),"Mortality, by week",I,AUS,Australia,18,18,TOTAL,Total,TOTAL,Total,COVIDNB,COVID-19 deaths (number),2020,,14,,A,,,,,,,,5
DATAFLOW,OECD:DF_HEALTH_MORTALITY(1.0),"Mortality, by week",I,AUS,Australia,19,19,TOTAL,Total,TOTAL,Total,COVIDNB,COVID-19 deaths (number),2020,,2,,A,,,,,,,,5
DATAFLOW,OECD:DF_HEALTH_MORTALITY(1.0),"Mortality, by week",I,AUS,Australia,20,20,TOTAL,Total,TOTAL,Total,COVIDNB,COVID-19 deaths (number),2020,,2,,A,,,,,,,,5
DATAFLOW,OECD:DF_HEALTH_MORTALITY(1.0),"Mortality, by week",I,AUS,Australia,21,21,TOTAL,Total,TOTAL,Total,COVIDNB,COVID-19 deaths (number),2020,,4,,A,,,,,,,,6
DATAFLOW,OECD:DF_HEALTH_MORTALITY(1.0),"Mortality, by week",I,AUS,Australia,22,22,TOTAL,Total,TOTAL,Total,COVIDNB,COVID-19 deaths (number),2020,,0,,A,,,,,,,,6
DATAFLOW,OECD:DF_HEALTH_MORTALITY(1.0),"Mortality, by week",I,AUS,Australia,23,23,TOTAL,Total,TOTAL,Total,COVIDNB,COVID-19 deaths (number),2020,,0,,A,,,,,,,,6
DATAFLOW,OECD:DF_HEALTH_MORTALITY(1.0),"Mortality, by week",I,AUS,Australia,24,24,TOTAL,Total,TOTAL,Total,COVIDNB,COVID-19 deaths (number),2020,,0,,A,,,,,,,,6
DATAFLOW,OECD:DF_HEALTH_MORTALITY(1.0),"Mortality, by week",I,AUS,Australia,25,25,TOTAL,Total,TOTAL,Total,COVIDNB,COVID-19 deaths (number),2020,,0,,A,,,,,,,,7
DATAFLOW,OECD:DF_HEALTH_MORTALITY(1.0),"Mortality, by week",I,AUS,Australia,26,26,TOTAL,Total,TOTAL,Total,COVIDNB,COVID-19 deaths (number),2020,,1,,A,,,,,,,,7
DATAFLOW,OECD:DF_HEALTH_MORTALITY(1.0),"Mortality, by week",I,AUS,Australia,27,27,TOTAL,Total,TOTAL,Total,COVIDNB,COVID-19 deaths (number),2020,,1,,A,,,,,,,,7
DATAFLOW,OECD:DF_HEALTH_MORTALITY(1.0),"Mortality, by week",I,AUS,Australia,28,28,TOTAL,Total,TOTAL,Total,COVIDNB,COVID-19 deaths (number),2020,,4,,A,,,,,,,,7
DATAFLOW,OECD:DF_HEALTH_MORTALITY(1.0),"Mortality, by week",I,AUS,Australia,29,29,TOTAL,Total,TOTAL,Total,COVIDNB,COVID-19 deaths (number),2020,,16,,A,,,,,,,,8
DATAFLOW,OECD:DF_HEALTH_MORTALITY(1.0),"Mortality, by week",I,AUS,Australia,30,30,TOTAL,Total,TOTAL,Total,COVIDNB,COVID-19 deaths (number),2020,,45,,A,,,,,,,,8
DATAFLOW,OECD:DF_HEALTH_MORTALITY(1.0),"Mortality, by week",I,AUS,Australia,31,31,TOTAL,Total,TOTAL,Total,COVIDNB,COVID-19 deaths (number),2020,,95,,A,,,,,,,,8
DATAFLOW,OECD:DF_HEALTH_MORTALITY(1.0),"Mortality, by week",I,AUS,Australia,32,32,TOTAL,Total,TOTAL,Total,COVIDNB,COVID-19 deaths (number),2020,,106,,A,,,,,,,,8
DATAFLOW,OECD:DF_HEALTH_MORTALITY(1.0),"Mortality, by week",I,AUS,Australia,33,33,TOTAL,Total,TOTAL,Total,COVIDNB,COVID-19 deaths (number),2020,,138,,A,,,,,,,,9
DATAFLOW,OECD:DF_HEALTH_MORTALITY(1.0),"Mortality, by week",I,AUS,Australia,34,34,TOTAL,Total,TOTAL,Total,COVIDNB,COVID-19 deaths (number),2020,,114,,A,,,,,,,,9
DATAFLOW,OECD:DF_HEALTH_MORTALITY(1.0),"Mortality, by week",I,AUS,Australia,35,35,TOTAL,Total,TOTAL,Total,COVIDNB,COVID-19 deaths (number),2020,,97,,A,,,,,,,,9
DATAFLOW,OECD:DF_HEALTH_MORTALITY(1.0),"Mortality, by week",I,AUS,Australia,36,36,TOTAL,Total,TOTAL,Total,COVIDNB,COVID-19 deaths (number),2020,,58,,A,,,,,,,,9
DATAFLOW,OECD:DF_HEALTH_MORTALITY(1.0),"Mortality, by week",I,AUS,Australia,37,37,TOTAL,Total,TOTAL,Total,COVIDNB,COVID-19 deaths (number),2020,,46,,A,,,,,,,,10
DATAFLOW,OECD:DF_HEALTH_MORTALITY(1.0),"Mortality, by week",I,AUS,Australia,38,38,TOTAL,Total,TOTAL,Total,COVIDNB,COVID-19 deaths (number),2020,,36,,A,,,,,,,,10
