STRUCTURE_NAME,ACTION,COUNTRY,Country,WEEK,GENDER,AGE,Age,VARIABLE,Variable,Year,Deaths,Observation Value,Month,Expenditure
"Mortality, by week",I,AUS,Australia,1,TOTAL,TOTAL,Total,COVIDNB,COVID-19 deaths (number),2020,0,,1,10.66
"Mortality, by week",I,AUS,Australia,2,TOTAL,TOTAL,Total,COVIDNB,COVID-19 deaths (number),2020,0,,1,10.66
"Mortality, by week",I,AUS,Australia,3,TOTAL,TOTAL,Total,COVIDNB,COVID-19 deaths (number),2020,0,,1,10.66
"Mortality, by week",I,AUS,Australia,4,TOTAL,TOTAL,Total,COVIDNB,COVID-19 deaths (number),2020,0,,1,10.66
"Mortality, by week",I,AUS,Australia,5,TOTAL,TOTAL,Total,COVIDNB,COVID-19 deaths (number),2020,0,,2,10.66
"Mortality, by week",I,AUS,Australia,6,TOTAL,TOTAL,Total,COVIDNB,COVID-19 deaths (number),2020,0,,2,10.66
"Mortality, by week",I,AUS,Australia,7,TOTAL,TOTAL,Total,COVIDNB,COVID-19 deaths (number),2020,0,,2,10.66
"Mortality, by week",I,AUS,Australia,8,TOTAL,TOTAL,Total,COVIDNB,COVID-19 deaths (number),2020,0,,2,10.66
"Mortality, by week",I,AUS,Australia,9,TOTAL,TOTAL,Total,COVIDNB,COVID-19 deaths (number),2020,0,,3,10.66
"Mortality, by week",I,AUS,Australia,10,TOTAL,TOTAL,Total,COVIDNB,COVID-19 deaths (number),2020,4,,3,10.66
"Mortality, by week",I,AUS,Australia,11,TOTAL,TOTAL,Total,COVIDNB,COVID-19 deaths (number),2020,3,,3,10.66
"Mortality, by week",I,AUS,Australia,12,TOTAL,TOTAL,Total,COVIDNB,COVID-19 deaths (number),2020,2,,3,10.66
"Mortality, by week",I,AUS,Australia,13,TOTAL,TOTAL,Total,COVIDNB,COVID-19 deaths (number),2020,7,,4,10.66
"Mortality, by week",I,AUS,Australia,14,TOTAL,TOTAL,Total,COVIDNB,COVID-19 deaths (number),2020,20,,4,10.66
"Mortality, by week",I,AUS,Australia,15,TOTAL,TOTAL,Total,COVIDNB,COVID-19 deaths (number),2020,25,,4,10.66
"Mortality, by week",I,AUS,Australia,16,TOTAL,TOTAL,Total,COVIDNB,COVID-19 deaths (number),2020,12,,4,10.66
"Mortality, by week",I,AUS,Australia,17,TOTAL,TOTAL,Total,COVIDNB,COVID-19 deaths (number),2020,12,,5,10.66
"Mortality, by week",I,AUS,Australia,18,TOTAL,TOTAL,Total,COVIDNB,COVID-19 deaths (number),2020,14,,5,10.66
"Mortality, by week",I,AUS,Australia,19,TOTAL,TOTAL,Total,COVIDNB,COVID-19 deaths (number),2020,2,,5,10.66
"Mortality, by week",I,AUS,Australia,20,TOTAL,TOTAL,Total,COVIDNB,COVID-19 deaths (number),2020,2,,5,10.66
"Mortality, by week",I,AUS,Australia,21,TOTAL,TOTAL,Total,COVIDNB,COVID-19 deaths (number),2020,4,,6,10.66
"Mortality, by week",I,AUS,Australia,22,TOTAL,TOTAL,Total,COVIDNB,COVID-19 deaths (number),2020,0,,6,10.66
"Mortality, by week",I,AUS,Australia,23,TOTAL,TOTAL,Total,COVIDNB,COVID-19 deaths (number),2020,0,,6,10.66
"Mortality, by week",I,AUS,Australia,24,TOTAL,TOTAL,Total,COVIDNB,COVID-19 deaths (number),2020,0,,6,10.66
"Mortality, by week",I,AUS,Australia,25,TOTAL,TOTAL,Total,COVIDNB,COVID-19 deaths (number),2020,0,,7,10.66
